account_id,user_id,name,type,mask,balances_current,balances_available,currency_code
CUST_0159,USR105Hi,American Express,Savings,1437,7442.63,7442.63,USD
CUST_0017,USR029pb,JCB 16 digit,Savings,6923,6134.96,6134.96,USD
CUST_0094,USR267kw,VISA 13 digit,Checking,8367,9083.9,9083.9,USD
CUST_0162,USR964Zf,Diners Club / Carte Blanche,Savings,1238,8235.56,8235.56,USD
CUST_0129,USR062Sj,VISA 16 digit,Savings,2499,9840.65,9840.65,USD
CUST_0071,USR578Nm,Mastercard,Checking,3144,5261.75,5261.75,USD
CUST_0165,USR392Km,VISA 19 digit,Savings,3552,592.31,592.31,USD
CUST_0147,USR319gH,VISA 16 digit,Savings,4762,7191.9,7191.9,USD
CUST_0116,USR037SD,VISA 16 digit,Checking,5913,5973.17,5973.17,USD
CUST_0150,USR750Re,Discover,Checking,3625,1350.96,1350.96,USD
CUST_0048,USR952tD,VISA 19 digit,Savings,6856,1668.23,1668.23,USD
CUST_0110,USR036Fd,JCB 16 digit,Checking,9704,2555.14,2555.14,USD
CUST_0072,USR238NB,American Express,Checking,2441,9977.77,9977.77,USD
CUST_0100,USR878HU,Mastercard,Savings,2676,494.18,494.18,USD
CUST_0199,USR080Be,JCB 16 digit,Savings,2292,9109.98,9109.98,USD
CUST_0008,USR366tF,VISA 16 digit,Savings,5416,4504.86,4504.86,USD
CUST_0065,USR011Ah,VISA 13 digit,Checking,6761,4252.46,4252.46,USD
CUST_0136,USR922xC,Mastercard,Savings,7835,8139.55,8139.55,USD
CUST_0023,USR920HM,JCB 15 digit,Savings,7659,1315.29,1315.29,USD
CUST_0193,USR456iu,VISA 16 digit,Savings,0121,819.78,819.78,USD
CUST_0041,USR631Uc,Mastercard,Savings,4553,4887.67,4887.67,USD
CUST_0190,USR793RD,VISA 19 digit,Savings,5400,3167.46,3167.46,USD
CUST_0163,USR615fT,VISA 13 digit,Checking,7268,3886.51,3886.51,USD
CUST_0155,USR932ga,Discover,Checking,3962,6944.59,6944.59,USD
CUST_0064,USR779mj,Maestro,Checking,0500,4233.95,4233.95,USD
CUST_0021,USR835aZ,VISA 16 digit,Savings,8183,6155.86,6155.86,USD
CUST_0050,USR204Ky,JCB 16 digit,Savings,4778,8531.97,8531.97,USD
CUST_0109,USR231nw,Diners Club / Carte Blanche,Savings,3802,8591.18,8591.18,USD
CUST_0156,USR666FD,American Express,Checking,2389,9667.26,9667.26,USD
