transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
c8d1ce2c-3e83-4f5b-bbcd-62f6d5c8c691,CUST_0159,Groceries,2024-11-13,Mobile App,Milk,1.28,USD,Debit Card,False
32338070-66a7-4089-b940-ffd1681a69e1,CUST_0017,Friend Activities,2023-05-04,In-store,Dinner with Friends,149.39,USD,Debit Card,False
bc548318-d566-4c21-855d-f5890cbc0712,CUST_0094,Housing and Utilities,2023-12-16,Mobile App,Water Bill,76.06,USD,Digital Wallet,False
8a679efe-48bb-4ad7-89f7-da051c15bd35,CUST_0162,Fitness,2024-01-28,In-store,Yoga Class,56.18,USD,Cash,False
41b53be1-bf95-431b-b8e5-16dd54ce1071,CUST_0129,Gifts,2023-07-28,In-store,Flowers,131.12,USD,Debit Card,False
9b9ced0c-4de9-44b2-8333-d736fa983e5b,CUST_0071,Gifts,2024-07-14,Mobile App,Flowers,31.74,USD,Digital Wallet,False
946c6944-4bf5-4c50-b843-a89b4aa0052e,CUST_0165,Transportation,2024-03-08,Mobile App,Car Repair,371.29,USD,Debit Card,False
13e86c83-771a-4c96-b452-910d8bc66266,CUST_0147,Fitness,2023-01-14,Mobile App,Personal Trainer,140.59,USD,Debit Card,False
909689e6-6c9d-4d02-8f8d-c9521e673341,CUST_0116,Travel,2023-08-15,In-store,Plane Ticket,1011.41,USD,Credit Card,False
8b9fd2eb-8134-4a13-bf31-0778a3f87e81,CUST_0150,Gifts,2024-10-15,Online,Kids Games,234.2,USD,Digital Wallet,False
9f3fb459-7e6f-4ede-9563-b4a6aab4f264,CUST_0048,Groceries,2023-12-31,In-store,Bread,11.92,USD,Digital Wallet,False
200d8969-58bc-4a5f-a60d-9b5c57daa80d,CUST_0110,Transportation,2023-05-12,In-store,Car Repair,349.07,USD,Cash,False
dbbb1ce0-b9c5-4a85-b0c3-7f46df3db394,CUST_0072,Personal Hygiene,2023-12-15,Mobile App,Toothpaste,7.9,USD,Debit Card,False
8a72223b-ad3d-4045-8a98-d3012f64c974,CUST_0100,Hobbies,2024-01-06,Mobile App,Crochet Supplies,244.49,USD,Digital Wallet,False
a73c562b-6d2d-4710-bcfc-52879711e2ee,CUST_0199,Housing and Utilities,2024-11-24,In-store,Gas Bill,171.23,USD,Digital Wallet,False
626c5430-1114-48d4-8e1d-ab7bbdb366b6,CUST_0008,Gifts,2023-12-29,Mobile App,Jewelry,564.54,USD,Credit Card,False
1482e4f5-e820-465a-a90a-8f1eb3f34e09,CUST_0065,Shopping,2023-11-27,In-store,Car,239228.17,USD,Digital Wallet,False
68a23811-d7e5-44bc-a095-ac074a9f6e7b,CUST_0136,Shopping,2023-11-29,In-store,Shoes,122.22,USD,Cash,False
ba9d7b03-2d1f-42fd-80e6-a6e3df229e87,CUST_0023,Medical/Dental,2024-08-15,In-store,Dentist Visit,333.68,USD,Credit Card,False
77ab699e-e6a8-463f-9d72-187ff0810996,CUST_0193,Groceries,2024-01-21,In-store,Chicken,29.19,USD,Debit Card,False
0891a292-dad6-4b62-9f08-e580162ca8d2,CUST_0041,Shopping,2024-11-06,Online,Clothes,113.4,USD,Credit Card,False
225cb2ae-7107-4bb9-80a0-bdd5f9dfae8f,CUST_0190,Groceries,2023-07-26,In-store,Snacks,45.43,USD,Debit Card,False
06c97766-2946-4e62-844e-c2146b28f371,CUST_0163,Food,2024-04-14,Mobile App,Fast Food,31.59,USD,Cash,False
df228a34-c450-4fcd-93d5-734747c780e4,CUST_0155,Food,2024-09-06,In-store,Restaurant Meal,64.18,USD,Credit Card,False
7b5ec4db-6edc-4360-897e-287f2c4389a3,CUST_0064,Groceries,2024-04-18,Mobile App,Milk,6.46,USD,Debit Card,False
9bcb1017-0031-42d5-8759-4b59c6e078b7,CUST_0021,Travel,2023-01-14,Mobile App,Taxi/Uber,27.09,USD,Debit Card,False
9bf869fd-0fb5-428c-a4dc-d6b063d22360,CUST_0050,Medical/Dental,2023-06-28,Online,Doctor Visit,55.31,USD,Debit Card,False
82e13d83-c216-45d8-a328-16d13168023d,CUST_0109,Transportation,2023-03-16,In-store,Public Transit,7.15,USD,Credit Card,False
3d384b7a-32b8-44e8-ae77-5d2a172cd3bd,CUST_0156,Medical/Dental,2023-12-29,Online,Medicine,50.92,USD,Digital Wallet,False
c621f561-f448-426e-bfcf-6fba8e4d5083,CUST_0083,Food,2023-06-05,Mobile App,Fast Food,16.14,USD,Credit Card,False
89a1863e-cf93-45de-9b7d-ef9bdaf9fa6d,CUST_0180,Shopping,2024-06-13,Mobile App,Shoes,203.6,USD,Credit Card,False
27daac85-58a2-48d6-b3df-e35ebb27adb5,CUST_0028,Transportation,2023-07-03,Online,Public Transit,7.13,USD,Debit Card,False
87256f78-d20d-43c6-a9b1-228d8997b649,CUST_0140,Groceries,2023-05-16,Mobile App,Vegetables,25.39,USD,Credit Card,False
b9cb0cfd-7b28-4b2f-88c1-ce5b4ce9da94,CUST_0038,Gifts,2023-01-07,Online,Kids Games,193.03,USD,Debit Card,False
ae22f98e-7fc3-49b5-8a25-dbb4dfc227a5,CUST_0191,Gifts,2024-05-25,Mobile App,Jewelry,250.74,USD,Credit Card,False
0e25259c-6fa1-4aff-b485-bdfa89fc3944,CUST_0001,Housing and Utilities,2024-07-21,Online,Gas Bill,122.46,USD,Credit Card,False
fca03efe-155b-4b6c-9636-5e1487bdcee9,CUST_0073,Shopping,2023-09-30,In-store,Car,48275.65,USD,Debit Card,False
927b75db-c821-4580-8db5-fab47950348a,CUST_0107,Fitness,2024-08-02,In-store,Yoga Class,46.95,USD,Digital Wallet,False
12922bd2-b12d-4103-89af-57fe7b8cce03,CUST_0058,Transportation,2023-08-09,In-store,Gas,47.95,USD,Cash,False
5ffd5c9a-c84b-44bf-8de3-c7a36aa56beb,CUST_0136,Groceries,2024-09-29,Online,Milk,11.83,USD,Debit Card,False
f61decd6-2392-46e5-bf81-7ea35698f004,CUST_0043,Medical/Dental,2023-01-05,In-store,Doctor Visit,841.42,USD,Cash,False
b11fa49b-9768-46e8-8420-1aa160c88989,CUST_0145,Transportation,2023-12-06,In-store,Gas,38.49,USD,Debit Card,False
86d58d74-d0ce-4a83-8f29-9b9a0a97ecba,CUST_0042,Gifts,2024-03-25,Mobile App,Kids Games,137.95,USD,Cash,False
204c10fc-23d1-408e-b5b0-4ea402458b4d,CUST_0046,Travel,2024-03-03,Mobile App,Plane Ticket,287.3,USD,Digital Wallet,False
eacc00ff-4a19-4088-b89f-2b55d0ca2ddc,CUST_0011,Subscriptions,2024-08-02,In-store,Streaming Service,16.16,USD,Cash,False
60e983fa-8150-487e-830c-99a7420df5d4,CUST_0129,Housing and Utilities,2023-01-11,Online,Water Bill,24.11,USD,Credit Card,False
13b78b01-ae6b-4390-b661-b945bf069770,CUST_0024,Travel,2023-09-06,Online,Plane Ticket,449.0,USD,Cash,False
6c6d35d0-9ee0-40e9-9d45-9305fc01922f,CUST_0130,Personal Hygiene,2024-05-10,Mobile App,Shampoo,7.08,USD,Credit Card,False
a53303a0-d649-4f18-8a3a-e059c2130b65,CUST_0071,Gifts,2024-11-29,Online,Jewelry,584.24,USD,Cash,False
a0c879c7-d970-41e4-9819-8f84c8c0eb62,CUST_0057,Transportation,2023-04-01,Online,Public Transit,9.22,USD,Cash,False
283d74f0-ce16-4f6f-9a4d-f038b3690ffc,CUST_0091,Friend Activities,2023-02-20,In-store,Dinner with Friends,197.4,USD,Debit Card,False
a9e8b517-e6e4-4d2a-9a28-0a41430fdf76,CUST_0147,Housing and Utilities,2023-01-26,Online,Electricity Bill,86.5,USD,Debit Card,False
c9b5128b-0a1d-4318-bafe-d9393df11195,CUST_0030,Transportation,2023-11-05,Mobile App,Gas,85.13,USD,Digital Wallet,False
c2591b09-d7e2-4867-bf52-d259f0ba936f,CUST_0042,Personal Hygiene,2023-04-19,Online,Skin Care Products,2384.87,USD,Debit Card,False
f8fc6f29-408a-413e-9116-3a91b56effee,CUST_0193,Food,2023-04-08,Online,Coffee,28.14,USD,Credit Card,False
e8a136d3-0a88-44f4-b49d-b6de13cb3170,CUST_0053,Hobbies,2024-05-31,Mobile App,Art Supplies,70.57,USD,Debit Card,False
ffe4ee00-e4e1-48aa-9422-734ac1ebf02c,CUST_0027,Hobbies,2024-09-19,In-store,Art Supplies,51.34,USD,Digital Wallet,False
