transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
e21e5ac9-bed0-4fbd-86e2-e8f8f0310204,CUST_0159,Groceries,2024-11-13,Mobile App,Milk,1.28,USD,Debit Card,False
96f220f3-f7fc-43b3-8b19-dcd959b3feaf,CUST_0017,Friend Activities,2023-05-04,In-store,Dinner with Friends,149.39,USD,Debit Card,False
ce86f356-51ef-4a0a-a4ec-2c95f75cc412,CUST_0094,Housing and Utilities,2023-12-16,Mobile App,Water Bill,76.06,USD,Digital Wallet,False
d3ad9b92-9592-4035-ba2e-c7312331e62c,CUST_0162,Fitness,2024-01-28,In-store,Yoga Class,56.18,USD,Cash,False
6b6a2d19-05c5-4fcc-93c7-1d9f1612845e,CUST_0129,Gifts,2023-07-28,In-store,Flowers,131.12,USD,Debit Card,False
d5e2d645-86e5-4319-a9c0-4a20c4417a3b,CUST_0071,Gifts,2024-07-14,Mobile App,Flowers,31.74,USD,Digital Wallet,False
1a923417-43f5-4771-a12e-0ee22286016f,CUST_0165,Transportation,2024-03-08,Mobile App,Car Repair,371.29,USD,Debit Card,False
1239a5f2-ba70-406e-8214-790e8b63e54a,CUST_0147,Fitness,2023-01-14,Mobile App,Personal Trainer,140.59,USD,Debit Card,False
d7c3d655-7ba7-4d5f-85ce-585098c7fc4e,CUST_0116,Travel,2023-08-15,In-store,Plane Ticket,1011.41,USD,Credit Card,False
5e6c5c64-fb3d-46a6-a0c2-93f3381a5bc0,CUST_0150,Gifts,2024-10-15,Online,Kids Games,234.2,USD,Digital Wallet,False
a7fa5785-0910-4cd7-b621-be069bf23164,CUST_0048,Groceries,2023-12-31,In-store,Bread,11.92,USD,Digital Wallet,False
255acae3-65b3-4d35-a8ec-957ac9cdf4ca,CUST_0110,Transportation,2023-05-12,In-store,Car Repair,349.07,USD,Cash,False
dc2a05c0-c794-4bc8-bb4e-32fa622665cd,CUST_0072,Personal Hygiene,2023-12-15,Mobile App,Toothpaste,7.9,USD,Debit Card,False
77372bf6-fe75-4c8f-8c57-0758c5aff20d,CUST_0100,Hobbies,2024-01-06,Mobile App,Crochet Supplies,244.49,USD,Digital Wallet,False
95b729c1-f168-4043-9a1a-d34c3c1f4ae1,CUST_0199,Housing and Utilities,2024-11-24,In-store,Gas Bill,171.23,USD,Digital Wallet,False
7bb17ae0-0984-4a04-b20e-7e5774156797,CUST_0008,Gifts,2023-12-29,Mobile App,Jewelry,564.54,USD,Credit Card,False
600e8c6e-c371-4bed-8a27-9d37deffa374,CUST_0065,Shopping,2023-11-27,In-store,Car,239228.17,USD,Digital Wallet,False
f48b53a6-fb80-4d09-8ea6-5976fa0f9e11,CUST_0136,Shopping,2023-11-29,In-store,Shoes,122.22,USD,Cash,False
3eac7465-b428-4b08-99c3-632aff5af753,CUST_0023,Medical/Dental,2024-08-15,In-store,Dentist Visit,333.68,USD,Credit Card,False
a5df49af-137c-4bee-83ca-cc5e2c5e50cf,CUST_0193,Groceries,2024-01-21,In-store,Chicken,29.19,USD,Debit Card,False
e441bce7-f039-4857-a593-e225fca76f62,CUST_0041,Shopping,2024-11-06,Online,Clothes,113.4,USD,Credit Card,False
0eec2c1e-fe77-46fd-8406-cc6556118aa5,CUST_0190,Groceries,2023-07-26,In-store,Snacks,45.43,USD,Debit Card,False
25a78a48-bc24-4b30-b37f-d64a424e0212,CUST_0163,Food,2024-04-14,Mobile App,Fast Food,31.59,USD,Cash,False
079fb175-c8a6-49d7-b33e-0250c51ae15f,CUST_0155,Food,2024-09-06,In-store,Restaurant Meal,64.18,USD,Credit Card,False
66ee566d-2df1-4eb8-abd2-944cc5fc1e7a,CUST_0064,Groceries,2024-04-18,Mobile App,Milk,6.46,USD,Debit Card,False
f2f4091a-8f3d-4fa2-81a8-088d5d8fdcf5,CUST_0021,Travel,2023-01-14,Mobile App,Taxi/Uber,27.09,USD,Debit Card,False
1852dcf6-f091-4f16-9b0f-808a4a4efe71,CUST_0050,Medical/Dental,2023-06-28,Online,Doctor Visit,55.31,USD,Debit Card,False
82af4762-a7a1-43a7-b68d-682ed2249156,CUST_0109,Transportation,2023-03-16,In-store,Public Transit,7.15,USD,Credit Card,False
3273e258-0a62-416e-89c7-ac78bb2aa1f2,CUST_0156,Medical/Dental,2023-12-29,Online,Medicine,50.92,USD,Digital Wallet,False
b816a29c-c656-4d9c-89cd-f29790ccd5fe,CUST_0083,Food,2023-06-05,Mobile App,Fast Food,16.14,USD,Credit Card,False
76e6eadd-1839-4b08-ab47-ddb316dbc683,CUST_0180,Shopping,2024-06-13,Mobile App,Shoes,203.6,USD,Credit Card,False
822bb220-0d9b-4588-ad7d-622c467caf51,CUST_0028,Transportation,2023-07-03,Online,Public Transit,7.13,USD,Debit Card,False
c3e96865-a195-4033-8f95-35ac1fa44694,CUST_0140,Groceries,2023-05-16,Mobile App,Vegetables,25.39,USD,Credit Card,False
61f69bc9-2ce7-420a-921a-99b5b55a28f0,CUST_0038,Gifts,2023-01-07,Online,Kids Games,193.03,USD,Debit Card,False
79ebb6e7-25c3-49a4-8f34-60c62209b16b,CUST_0191,Gifts,2024-05-25,Mobile App,Jewelry,250.74,USD,Credit Card,False
af7656a9-fef7-4f0c-a523-420d3139b523,CUST_0001,Housing and Utilities,2024-07-21,Online,Gas Bill,122.46,USD,Credit Card,False
3f420231-ccce-4f36-b714-2885317c8712,CUST_0073,Shopping,2023-09-30,In-store,Car,48275.65,USD,Debit Card,False
d5c3dd7e-717a-4b44-ad19-60c9401c5331,CUST_0107,Fitness,2024-08-02,In-store,Yoga Class,46.95,USD,Digital Wallet,False
63397556-5606-4dda-ad7e-e2248c15a588,CUST_0058,Transportation,2023-08-09,In-store,Gas,47.95,USD,Cash,False
b7368b08-b169-44dd-a0f9-c457523f4a9c,CUST_0136,Groceries,2024-09-29,Online,Milk,11.83,USD,Debit Card,False
