institution_id,account_id,name,official_name,subtype,type,mask,balances_current,balances_available,balances_limit,iso_currency_code
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,Plaid Checking,Plaid Gold Standard 0% Interest Checking,checking,depository,0000,110,100,,USD
ins_109508,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,Plaid Saving,Plaid Silver Standard 0.1% Interest Saving,savings,depository,1111,210,200,,USD
ins_109508,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,Plaid CD,Plaid Bronze Standard 0.2% Interest CD,cd,depository,2222,1000,,,USD
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,Plaid Credit Card,Plaid Diamond 12.5% APR Interest Credit Card,credit card,credit,3333,410,,2000,USD
ins_109508,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,Plaid Money Market,Plaid Platinum Standard 1.85% Interest Money Market,money market,depository,4444,43200,43200,,USD
ins_109508,1GEPJ5mB79tl7eM7DmLnfr5m8wEGXqCp9ZGqk,Plaid IRA,,ira,investment,5555,320.76,,,USD
ins_109508,LWDgM6owxqtZbnNb14BvTdbAXxRMkVik6lyeQ,Plaid 401k,,401k,investment,6666,23631.9805,,,USD
ins_109508,pznagZ9mkWhbEVMEx6ANu5brjnBzx1uplENJg,Plaid Student Loan,,student,loan,7777,65262,,,USD
ins_109508,ornxbQ9odwhLGEPG3DmMTNLMKyVrbaioQknpD,Plaid Mortgage,,mortgage,loan,8888,56302.06,,,USD
ins_109508,g8Wvpdk6lmTGEnME9rAgsmy9wBQbVDUEN4QLJ,Plaid HSA,Plaid Cares Health Savings Account,hsa,depository,9001,6009,6009,,USD
ins_109508,83EW6AqPy9tZwJkwXo9aTvjkayNedQiW7KVZR,Plaid Cash Management,Plaid Growth Cash Management,cash management,depository,9002,12060,12060,,USD
ins_109508,E1Da7bvWlkFJkxokPQApfqZmXPQwy6T489PgA,Plaid Business Credit Card,Plaid Platinum Small Business Credit Card,credit card,credit,9999,5020,4980,10000,USD
ins_109509,83rVqGRwKGh7BEQrErMNSvjLKd1WXAuW1ZvRr,Plaid Checking,Plaid Gold Standard 0% Interest Checking,checking,depository,0000,110,100,,USD
ins_109509,E1QEv4rNe4tBEvZGvGLaIqZRgyGejrt4RgZMV,Plaid Saving,Plaid Silver Standard 0.1% Interest Saving,savings,depository,1111,210,200,,USD
ins_109509,LWkyoZbjlZhxaARKAKwGFdbypNjJn8tkQegmq,Plaid CD,Plaid Bronze Standard 0.2% Interest CD,cd,depository,2222,1000,,,USD
