transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
QKD9z6mAP3ugeqEeWZvyTjBV3q9DzPFjoVegZ,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-10-12,FUN,SparkFun,89.4,USD,in store,False
g8Wvpdk6lmTGEnME9rAgsmyPGaVRqZtyDJ16v,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-10-11,,INTRST PYMNT,-4.22,USD,other,False
WdDKJVzAqPTJkxDkLqQ3f1W3KxBN4wIBMVE9p,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-10-01,United Airlines,United Airlines,500.0,USD,in store,False
ZNWdb6eAzmsEk4akbWvMTgVad4RpoKFxLBlEx,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-09-29,Uber,Uber 072515 SF**POOL**,6.33,USD,online,False
AeEq16pWyBfEKrpKdXJ8TyA7Qo8KRaHBwmPjZ,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-09-26,,Tectra Inc,500.0,USD,in store,False
b1W8prgoPmFWGEkGPjA6Iz1Klax3L9tBLeqx1,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-09-25,,AUTOMATIC PAYMENT - THANK,2078.5,USD,online,False
nKnB4ew9x8uWGy9GkR4VIpdEP5GJ87tJk4ben,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-09-25,KFC,KFC,500.0,USD,in store,False
GpDjwAo6KNTaK91K7bljTrKP3E8DzyCZ9d3Bk,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-09-25,,Madison Bicycle Shop,500.0,USD,in store,False
83EW6AqPy9tZwJkwXo9aTvjAb7dwxKfNaBmXD,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-09-16,,CREDIT CARD 3333 PAYMENT *//,25.0,USD,other,False
MADEl6oVdKtk9W49Lo3xsa9zyPw8kqtmxryWk,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-09-16,Uber,Uber 063015 SF**POOL**,5.4,USD,online,False
yjnAdy5RJ8SW9ER9v1nMIKkdV4PrnpFgdBA3X,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,,2025-09-15,,ACH Electronic CreditGUSTO PAY 123456,5850.0,USD,online,False
E1Da7bvWlkFJkxokPQApfqZra3y5bgF6QNlBD,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,,2025-09-15,,CD DEPOSIT .INITIAL.,1000.0,USD,other,False
mqnrJ7bw38fVEoxEzAa3cWaNGr6jqKirjaJmz,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-09-14,,Touchstone Climbing,78.5,USD,in store,False
1GEPJ5mB79tl7eM7DmLnfr5xAbXgMpCD71okE,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-09-14,United Airlines,United Airlines,-500.0,USD,in store,False
LWDgM6owxqtZbnNb14BvTdb1awkg4Nc385axz,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-09-13,McDonald's,McDonald's,12.0,USD,in store,False
pznagZ9mkWhbEVMEx6ANu5b6yPxLAKsXgdnvy,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-09-13,Starbucks,Starbucks,4.33,USD,in store,False
ornxbQ9odwhLGEPG3DmMTNL5jRbZoBfv9myZJ,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-09-12,FUN,SparkFun,89.4,USD,in store,False
6zEoX5d4y9hXBb9B5n6vfeEKweo3Egc8BRVzx,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-09-11,,INTRST PYMNT,-4.22,USD,other,False
4K5M6DGdyJuG5p65PkZqszkXEzKokvuJQxj45,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-09-01,United Airlines,United Airlines,500.0,USD,in store,False
kGWJwPkoz8tG6Ek6Kwx7s4d394rMdEcLlby83,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-08-30,Uber,Uber 072515 SF**POOL**,6.33,USD,online,False
NGDAq6gyartnwWLwpMxmt4oXk4nWopcy41Pkd,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-08-27,,Tectra Inc,500.0,USD,in store,False
7BD8PmlNy9S5vXPvqbgWTxzXax4EzBCdoG7rz,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-08-26,,AUTOMATIC PAYMENT - THANK,2078.5,USD,online,False
jAnwpNP6r8td9yx9qkeJSWnjGWN1nAC6V3rlj,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-08-26,KFC,KFC,500.0,USD,in store,False
PqDmr6oANBfebldbgZa8SPbXvPKMbpuoP4pVR,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-08-26,,Madison Bicycle Shop,500.0,USD,in store,False
XaWzo6BRKjIVbAJbBRZqcwr1vwV5rZfbmRwDy,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-08-17,,CREDIT CARD 3333 PAYMENT *//,25.0,USD,other,False
llnq7jdoByhxGEbGvQdNH1aN41k7aMHpVvDrz,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-08-17,Uber,Uber 063015 SF**POOL**,5.4,USD,online,False
wNmg3wJ1Q8sxGoMG7w14HnmZjp7lXvfPb6B4r,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,,2025-08-16,,ACH Electronic CreditGUSTO PAY 123456,5850.0,USD,online,False
E1Da7bvWlkFJkxokPQApfqZlaq46ZWH4qLpzz,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,,2025-08-16,,CD DEPOSIT .INITIAL.,1000.0,USD,other,False
eoWb631DemtnG5MGWQJKtXvlrXkev5ir4woey,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-08-15,,Touchstone Climbing,78.5,USD,in store,False
qByNlM9o48SXWwPWd8JzfBX5EBlLX6Cgzq4V8,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-08-15,United Airlines,United Airlines,-500.0,USD,in store,False
KEDpR6ZW3lsvpjNpMezGFx4E6xrX4kCRxv4m6,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-08-14,McDonald's,McDonald's,12.0,USD,in store,False
r3njq19oNmtyGEPGa4jMIgyXQgwByzs7ev3Dl,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-08-14,Starbucks,Starbucks,4.33,USD,in store,False
z7XnJV91oDFzMbJMZvV4snzK9nVDzjCl5G4gl,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-08-13,FUN,SparkFun,89.4,USD,in store,False
DMDxo6VGydFXEWvEN3eRflyoLla8yGF358KZ7,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-08-12,,INTRST PYMNT,-4.22,USD,other,False
4K5M6DGdyJuG5p65PkZqszkgqE9w38FJQxj4g,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-08-02,United Airlines,United Airlines,500.0,USD,in store,False
BQbrwA9Wy3IALz6LaJM5sMAgbM9QAEF4bGDLz,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-31,Uber,Uber 072515 SF**POOL**,6.33,USD,online,False
NGDAq6gyartnwWLwpMxmt4oqakm1xLFy41PkW,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-07-28,,Tectra Inc,500.0,USD,in store,False
7BD8PmlNy9S5vXPvqbgWTxzJAa51peidoG7rM,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-07-27,,AUTOMATIC PAYMENT - THANK,2078.5,USD,online,False
jAnwpNP6r8td9yx9qkeJSWnVeGq5bzu6V3rlv,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-07-27,KFC,KFC,500.0,USD,in store,False
PqDmr6oANBfebldbgZa8SPb9avGywWcoP4pVo,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-07-27,,Madison Bicycle Shop,500.0,USD,in store,False
VxDlp6rmkNHwyApyX7e9sM9qKMwR9lF9BJ3DD,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-07-18,,CREDIT CARD 3333 PAYMENT *//,25.0,USD,other,False
3qAQPodxk9fGNdaNxPXWsEAkJE6RAVSZDad8M,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-18,Uber,Uber 063015 SF**POOL**,5.4,USD,online,False
5rmL7R6ay9hJR7MRL5nKfB9VRAJ5xbu51Dqa5,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,,2025-07-17,,ACH Electronic CreditGUSTO PAY 123456,5850.0,USD,online,False
WdDKJVzAqPTJkxDkLqQ3f1WPK1J6WGH6kGJxq,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,,2025-07-17,,CD DEPOSIT .INITIAL.,1000.0,USD,other,False
eoWb631DemtnG5MGWQJKtXv4brNLaWir4woeV,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-07-16,,Touchstone Climbing,78.5,USD,in store,False
xPnExy5mkQHxXVMXelJAHDKZnDyvK6C63EdAA,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-16,United Airlines,United Airlines,-500.0,USD,in store,False
dp6GgB897mTEko5krdnqTPrBGPq7rouJj3L6G,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-15,McDonald's,McDonald's,12.0,USD,in store,False
aMbokK9GNmFlKAEKLZWjfWlkdWPglDCZB9Aeo,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-15,Starbucks,Starbucks,4.33,USD,in store,False
4K5M6DGdyJuG5p65PkZqszkXEzKokvuJQxj3m,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-14,FUN,SparkFun,89.4,USD,in store,False
wNmg3wJ1Q8sxGoMG7w14HnmapnGLmgCPb6BQM,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-07-13,,INTRST PYMNT,-4.22,USD,other,False
QKD9z6mAP3ugeqEeWZvyTjB5l3EznJCw5dqRz,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-07-03,United Airlines,United Airlines,500.0,USD,in store,False
NGDAq6gyartnwWLwpMxmt4oXk4nWopcy41P7a,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-07-01,Uber,Uber 072515 SF**POOL**,6.33,USD,online,False
ZNWdb6eAzmsEk4akbWvMTgVB5dloAWHe6jd9P,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-06-28,,Tectra Inc,500.0,USD,in store,False
LWDgM6owxqtZbnNb14BvTdbGra34MEukXJVdd,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-06-27,,AUTOMATIC PAYMENT - THANK,2078.5,USD,online,False
1GEPJ5mB79tl7eM7DmLnfr5Q3AlMGaCp8wAEV,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-06-27,KFC,KFC,500.0,USD,in store,False
MADEl6oVdKtk9W49Lo3xsa91AybkRmuLJodGm,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-06-27,,Madison Bicycle Shop,500.0,USD,in store,False
5rmL7R6ay9hJR7MRL5nKfB9jABPg9GC51Dq6j,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-06-18,,CREDIT CARD 3333 PAYMENT *//,25.0,USD,other,False
PqDmr6oANBfebldbgZa8SPbXvPKMbpuoP4pNV,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-06-18,Uber,Uber 063015 SF**POOL**,5.4,USD,online,False
J8D1k69WB7T8DPNDZErQU389d5o1xkIBDLVlQ,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,,2025-06-17,,ACH Electronic CreditGUSTO PAY 123456,5850.0,USD,online,False
AeEq16pWyBfEKrpKdXJ8TyAXQyxqAWH9QvnMe,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,,2025-06-17,,CD DEPOSIT .INITIAL.,1000.0,USD,other,False
pznagZ9mkWhbEVMEx6ANu5blpyvAzXhpZxA8m,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-06-16,,Touchstone Climbing,78.5,USD,in store,False
jAnwpNP6r8td9yx9qkeJSWnjGWN1nAC6V3rGb,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-06-16,United Airlines,United Airlines,-500.0,USD,in store,False
7BD8PmlNy9S5vXPvqbgWTxzXax4EzBCdoG71A,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-06-15,McDonald's,McDonald's,12.0,USD,in store,False
eoWb631DemtnG5MGWQJKtXvlrXkev5ir4woVq,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-06-15,Starbucks,Starbucks,4.33,USD,in store,False
QKD9z6mAP3ugeqEeWZvyTjBN3jrLBxcw5dqaq,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-06-14,FUN,SparkFun,89.4,USD,in store,False
J8D1k69WB7T8DPNDZErQU38Q537a8pIBDLVnN,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2025-06-13,,INTRST PYMNT,-4.22,USD,other,False
ornxbQ9odwhLGEPG3DmMTNL8Xjvor9iod3WGx,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-06-03,United Airlines,United Airlines,500.0,USD,in store,False
ZNWdb6eAzmsEk4akbWvMTgV9dgPQVzse6jdbZ,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,,2025-06-01,Uber,Uber 072515 SF**POOL**,6.33,USD,online,False
g8Wvpdk6lmTGEnME9rAgsmyvAGjqbefExXvde,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-05-29,,Tectra Inc,500.0,USD,in store,False
WdDKJVzAqPTJkxDkLqQ3f1W7EKm4dXu6kGJqL,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-05-28,,AUTOMATIC PAYMENT - THANK,2078.5,USD,online,False
E1Da7bvWlkFJkxokPQApfqZ1Ja7bwjc4qLp3W,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,,2025-05-28,KFC,KFC,500.0,USD,in store,False
