transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
k93BG9lqqpfKb54oweleU4oaMnazb7cLlvo8w,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2025-10-12,FUN,SparkFun,89.4,USD,in store,False
3j45qjRppLfxZl9qP868SENaRWaxdouZDxE87,AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,,2025-10-11,,INTRST PYMNT,-4.22,USD,other,False
agvDMgZ55PCLaBkgZ5R5IWw3gL3GbvUZBMDed,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,,2025-10-01,United Airlines,United Airlines,500.0,USD,in store,False
lvx3lvkKKJuv5LnVQ9k9I1Kd7QdjrBtpVxRrn,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2025-09-29,Uber,Uber 072515 SF**POOL**,6.33,USD,online,False
47NmK7RooptPJBgKk8y8SzL4oj4rn8iJQPLka,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,,2025-09-26,,Tectra Inc,500.0,USD,in store,False
jyBzAyWllkSq3j6nkbRbUWRk1dkg3zU6VeawB,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,,2025-09-25,,AUTOMATIC PAYMENT - THANK,2078.5,USD,online,False
P3vVq3l55jFgrBAmZnLnTPQxMzxmVWCoPRAJg,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,,2025-09-25,KFC,KFC,500.0,USD,in store,False
NzvXGzE55MCpgv3JMo8os4RGWrGN6Lcy4wQxE,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,,2025-09-25,,Madison Bicycle Shop,500.0,USD,in store,False
x41MP4j77RCeQ9g7lmBmhDr5vl5BQEf63beAd,AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,,2025-09-16,,CREDIT CARD 3333 PAYMENT *//,25.0,USD,other,False
qrPkBr3xxqfdqLG78N3NHBwML8MZqjugz3RVQ,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2025-09-16,Uber,Uber 063015 SF**POOL**,5.4,USD,online,False
eAlnoAp55yIWbxXDQo7osXMoeQonjWCr4GmE1,bkvn1kMJJwfPMmzJj171Sz6wZrjlrnCm6ydRB,,2025-09-15,,ACH Electronic CreditGUSTO PAY 123456,5850.0,USD,online,False
dWvbpWL55NirpmM9dv7vCPJk7KkAa6CJjpR6V,G9vXp9M55Rf7kywpbeReIr6pabe3bgf67rQV8,,2025-09-15,,CD DEPOSIT .INITIAL.,1000.0,USD,other,False
7Z7kBZKEELFqNaenb868UxKGEVGbveidoqxjK,nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,,2025-09-14,,Touchstone Climbing,78.5,USD,in store,False
KqvXEqo55yhMn8doe1A1sxwzXRz3WGiRxQ1mJ,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2025-09-14,United Airlines,United Airlines,-500.0,USD,in store,False
rzkP3zxddKCaqp5647A7IgNMB4Mnqlf7ez1DN,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2025-09-13,McDonald's,McDonald's,12.0,USD,in store,False
zPpL7PeQQACZo1A5vXmXtn3mDvmxo8fl5nQg8,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2025-09-13,Starbucks,Starbucks,4.33,USD,in store,False
