transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
RKVn8y3mVqC7ZxLyZqdoU74WomwRojSZ7eanr,RKVn8y3mVqC7ZxLyZqdoU747DpyAAJhZjpyj4,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
9PkNlw83gDhKVVw5pP7nIkpqEw5NPqsK8x1xG,KbR9MVn8r6SK33WNGVjLIx6oMxlNXGFRxwljX,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
dpLa8VJdEVI4NMplMlbVIPrdDGqKQxCBkBryk,E1QEv4rNe4tBEvZGvGLaIqZRgyGejrt4RgZMV,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
pZEokvv1PRuJ7RZEV9xgT5yb8rza9XtbGNnoW,gdQjloo4Paiq3wQEn19yHmGqdadkmbtPDM6Pb,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
MxNe1Kpe5PU5yaBGNLEzsaBd8vKXdAfNo1eyw,VQy8XNb85qF5JMjZDX1gsMRBn164kQIlblkXm,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
DMDxo6VGydFXEWvEN3eRflyoLla8yGF358Kd7,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
knjN96lWolHAaMdmblxQh4MrneP4kbtLowrdy,9PNm1azEjzSnKAe8E1gyHkQNer64Xjh4GW7yJ,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
1Z5BmNvM4rs7or3mVR6bhrZPo19kopcvWKXLE,7qmNlZw5avtvAlzbekophxKm6Nz4REFwQJQjz,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
V49ZMbLzMQcrR8PJj5vqsMPnNe91AMSALAzPW,dErMyxXRyKTBXjlmwW8VHP7AeLyNvMiXbK5x6,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
5AW46jQDoPTQWyXN7zbxhBgdZBQ6doC5zw63X,mjlgbPz45dFBK74poGMPhW4PeKDxADugy9ArD,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
MrvXAr855RfLjyKXopgpIaG1XzxXgDUmx6xr6,AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,,2023-10-22,,INTRST PYMNT,-4.22,USD,other,False
a1yqg8ZbGZcJGdpNaRW3UWgPLzrWabtZDPpLn,y4zENX7nR7UXKB76ZznycK8re41kjZH43qJnp,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
nEe9wlNQMmhG8PjRElXnspvrnBW3n7umxeVmG,jEN6PyxmJ3h97Grk641KTWRZoXnNP1CQ4W4wj,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
jyBzAyWllkSq3j6nkbRbUWRV49E4Q3IQ4W4dA,Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
jdmMe8jMl7IAjgmoDqE1SW17mxZ47efx3aZLx,DWz3rdP35Bi5klxAKN9Vsl8N6JmZegCdmdeBo,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
m7o13vvQgXcLGbpEo5zZSWGawmVR58S9NnJeB,oQ8pdvvMJmH5zbnGEJ39hNjopRpnNri19KZ1l,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
BPmLV4ZoV8tgmBjkqEKDTMmvWlAV3MSJ6Jrnl,xlJDNAq6NotDawz9vPjZUDvBjwm8N3fQzjpRJ,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
x8Ng5Jepr1ujBg5dVrp1FDv3dDWL3wf6m7Qyv,bKb6gqA5xvha7zrXERewszywp9ZJjZfmbE3Bp,,2023-10-23,FUN,SparkFun,89.4,USD,in store,False
