account_id,user_id,name,type,mask,balances_current,balances_available,currency_code
db6f3eab8d36401ab29fe42bdf3280ef,USR354Rs,Checking account 1,CHECKING,6096,4050.0,4050.0,CZK
00140a6c17ce4d3a9dd455073c5cac0a,USR698Qr,Jooksevkonto,CHECKING,7251,4549.34,4549.34,EUR
38fdaceb6f364a50b21ba31b9a80306b,USR992ZI,Hoiukonto,SAVINGS,7251,13000.0,13000.0,EUR
084611e2c55c45a0a153ff24e2b5cb50,USR352pI,Sparkonto,SAVINGS,8154,13000.03,13000.03,EUR
0c47e3c72eec4c2286f2d2f04c5e8433,USR227ai,Girokonto,CHECKING,8154,-1663.78,-1663.78,EUR
fb2d93d065bd45c9893f58d31839cde8,USR086qQ,Compte épargne,SAVINGS,5971,13000.0,13000.0,EUR
ff109f0c99a146e9bb9e30ccfac01582,USR592MJ,Compte courant,CHECKING,5971,-1929.03,-1929.03,EUR
edb7ed6c075646948c8fb81b63b5ba75,USR163vx,Main personal account,CHECKING,9277,100.02,100.02,EUR
2afd4caebfdb49d483e98383c0d24474,USR970wx,Savings,SAVINGS,3224,250000.0,250000.0,SEK
9a0ba5d9c1f649dfbfaf18adec749a6a,USR000Ux,Sparkonto,SAVINGS,3224,130837.0,130837.0,SEK
c933b12ce50c48dcb4208e2d5fe59c4e,USR149vb,Privatkonto,CHECKING,3224,-227083.2,-227083.2,SEK
2901b5ccd9d84760926e25640dbb70cd,USR208yg,Käyttötili,CHECKING,7318,-1172.78,-1172.78,EUR
725cf38790664fdb925d23618ee24518,USR463UE,Säästötili,SAVINGS,7318,13000.0,13000.0,EUR
d6cc56bc402a4685829f0de347af4c63,USR980UY,Basic,CHECKING,4376,80255.52,80255.52,GBP
6729b669f9e2456a9fbdee4e94d641c8,USR673YB,Savings Account,SAVINGS,5473,13000.0,13000.0,EUR
41e035480df54e979ecd6234c2010921,USR829qO,Current Account,CHECKING,5473,-2321.2000000000003,-2321.2000000000003,EUR
82e4bce631ce4afcace0ca4d36cc4958,USR989QU,Krājumu konts,SAVINGS,7362,14950.0,14950.0,EUR
7372a72bc03c4ab49492a481c2cfc7f5,USR844Xx,Norēķinu konts,CHECKING,7362,4761.33,4761.33,EUR
0b938997d88247d69ef5234ff5bf653b,USR338ns,Compte épargné,SAVINGS,1108,13000.0,13000.0,EUR
ada3d0f52c0848b985022952fef7031f,USR526MW,Compte courant,CHECKING,1108,356.22,356.22,EUR
7f516dc6ddf5450f86f30b9fe0ba67ea,USR667ih,Lønkonto,CHECKING,6134,-16537.8,-16537.8,DKK
e012264a41a44d28b32f66f40200bb8e,USR310Mk,Opsparingskonto,SAVINGS,6134,130000.0,130000.0,DKK
4bb60c8682f543e8939a659d14a20124,USR235aH,Savings Account !,SAVINGS,6779,221250.0,221250.0,EUR
33081974045743388a4274e657c69176,USR218kF,Checking Account 1,CHECKING,6779,4973.0,4973.0,EUR
ca93c6e29cd64c288aa462e85c634c88,USR900TT,Spaarrekening,SAVINGS,9307,14950.0,14950.0,EUR
f37690212445419c9e5d0fbbda82abc2,USR978oc,Lopende rekening,CHECKING,9307,4605.33,4605.33,EUR
5078c8ead42c4f0c90ec882910bcc75c,USR841fP,Conto Deposito,SAVINGS,5428,14350.74,14350.74,EUR
ad3b198a7f624730a942384dd064f051,USR526Ci,Conto Corrente,CHECKING,5428,-1813.76,-1813.76,EUR
4fd04cb6bfc247ddb3f42419a347e9bc,USR257qy,Cuenta corriente,CHECKING,1002,3024.46,3024.46,EUR
bfa0dd42f04646098b81b4cbc0bcb678,USR748ZE,Cuenta de ahorro,SAVINGS,1002,13078.0,13078.0,EUR
b4b23f035a9f4b6193e1664c1d4ed782,USR755DK,Taupomoji sąskaita,SAVINGS,7951,14950.0,14950.0,EUR
8c1950bbf34d4de6adcf81d97399d701,USR495mL,Einamoji sąskaita,CHECKING,7951,4761.33,4761.33,EUR
c52dcb1d472c4252b1be25e1e35826fd,USR170FQ,Konto oszczędnościowe,SAVINGS,1375,65000.0,65000.0,PLN
ca0e28e500584f8ba9a0197c04959318,USR614yH,Konto bieżące,CHECKING,1375,34234.89,34234.89,PLN
193ffb34e92f4926a2b1f166dd9c3ac8,USR885po,Savings Account,SAVINGS,7184,13000.0,13000.0,GBP
d8e85133189140ceb38926ca37c44c8d,USR733gw,Current Account,CHECKING,7184,2105.34,2105.34,GBP
fb9a593b6b0c448d968616bb8aae9a60,USR329uU,Brukskonto,CHECKING,0976,48472.2,48472.2,NOK
ac7a2d64f01d4638a1534bd543f7a8bc,USR747HD,Sparekonto,SAVINGS,0976,130000.0,130000.0,NOK
e446f1818301472a926013ba98cc8c5c,USR831lM,Conta Poupança,SAVINGS,5756,13000.0,13000.0,EUR
3288ff86901143b4a34e39d56b72f0c9,USR493ow,Conta à Ordem,CHECKING,5756,3544.05,3544.05,EUR
