id,accountId,date,description,amount,currency,status,type,providerTransactionId
2cae6a4c0024437c896657ce5237e74a,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-11-01,Domino's Pizza,-179.9,DKK,PENDING,DEFAULT,1001
5fdf5c31246d4b8b956b201ddbfc6ae6,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-11-01,Renteindægter,37.2,DKK,BOOKED,DEFAULT,1002
54589e610324480d8ff5c1fadcb6f04c,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-30,Baresso,-24.900000000000002,DKK,BOOKED,DEFAULT,1004
7fd533e871bf413c83f48573098c47a0,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-30,Jensens Bøfhus,-86.80000000000001,DKK,BOOKED,DEFAULT,1003
64cd842a8a7c4a6a9e7582d180477d14,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-28,Yousee,-239.9,DKK,BOOKED,DEFAULT,1005
d9febfe517334ba9a701959bfaba1e4b,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-28,Mcdonalds,-56.900000000000006,DKK,BOOKED,DEFAULT,1006
20b81006bfe949978eae623c85d86300,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-27,Shell,-400.0,DKK,BOOKED,DEFAULT,1007
96f1fd7f699d41dbabf2e81dd3994fe8,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-27,Dsb,-279.0,DKK,BOOKED,DEFAULT,1009
dde6459bf08f42138bc0a08403758d90,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-27,Fakta,-299.90000000000003,DKK,BOOKED,DEFAULT,1008
41c48aaac85641dfadbdd6d9d5e4d154,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-26,Seas-Nve,-340.0,DKK,BOOKED,DEFAULT,1011
8d519cda989942b7a1ae8f1df9f179cc,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-26,H&M,-977.1,DKK,BOOKED,DEFAULT,1010
b2560d9aa2d245dd9e23fff3ca9aadbc,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-25,Fodbold,-97.9,DKK,BOOKED,DEFAULT,1012
24b661d44c434bb085e863e383753a1e,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-24,Starbucks,-37.9,DKK,BOOKED,DEFAULT,1013
b08322983e904fcaa10d8116583041d4,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-23,Baresso,-24.900000000000002,DKK,BOOKED,DEFAULT,1015
ff17ff6cadde4407acb2cae68bd8a67d,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-23,Zalando.dk,-239.9,DKK,BOOKED,DEFAULT,1014
ce8733be8a2c4accaee052fc19c4f80a,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-22,Netto,-536.6,DKK,BOOKED,DEFAULT,1016
5aa0aaef9b90434eaead8941e2d81df6,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-20,Ht,-129.0,DKK,BOOKED,DEFAULT,1020
a8642458924841a0a811222cb7622978,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-20,Dsb,-279.0,DKK,BOOKED,DEFAULT,1018
b03f1f34bd954339a00926c1d619e6d3,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-20,Fakta,-299.90000000000003,DKK,BOOKED,DEFAULT,1017
f0c72e865e9a4ceeb840822208abe4ca,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-20,Bilka,-196.70000000000002,DKK,BOOKED,DEFAULT,1019
62c2dd5200fd40cbb4db487dacc29931,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-19,Mikkeller Bar,-249.60000000000002,DKK,BOOKED,DEFAULT,1021
325378525a10450398f5bb3c6f6f9242,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-17,Spotify,-139.9,DKK,BOOKED,DEFAULT,1022
589115f3a1684061b8f8531e97f516f0,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-17,Svane Apotek,-37.9,DKK,BOOKED,DEFAULT,1023
66442b1a9b42468a894f872f2ffc4b68,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-16,Elgiganten,-1299.9,DKK,BOOKED,DEFAULT,1024
7b522fd9cbe14c958da84a5216b26115,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-16,Baresso,-24.900000000000002,DKK,BOOKED,DEFAULT,1026
cea734cc287d44058f0a1499eb93855f,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-16,Jensens Bøfhus,-86.80000000000001,DKK,BOOKED,DEFAULT,1025
3817ecbf97fd40d9816b1343e551dc36,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-15,Superbrugsen,-173.3,DKK,BOOKED,DEFAULT,1027
0fbdbf9ec3974e62b71fb7519b84e40b,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-13,Fakta,-299.90000000000003,DKK,BOOKED,DEFAULT,1029
6243b71460e04117a0d712056ce230d6,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-13,Shell,-400.0,DKK,BOOKED,DEFAULT,1028
fa7aa22480b44ee69dc9ef558aa62820,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-13,Dsb,-279.0,DKK,BOOKED,DEFAULT,1030
00cffbd3f3554d1da458305fbb52c9c3,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-12,Telia,-229.9,DKK,BOOKED,DEFAULT,1031
6173a58cfcec40a194f34a366d9c8349,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-12,Kontanthævning,-200.0,DKK,BOOKED,DEFAULT,1032
cb0ec96e78914296b45aac6ab22610b8,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-12,Netflix,-159.9,DKK,BOOKED,DEFAULT,1033
321e09d9cfc74c0f954f026c6b9d67ba,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-10,Overførsel,-2000.0,DKK,BOOKED,TRANSFER,1034
66c644db4b4043369120e11dfd3bf323,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-10,Starbucks,-37.9,DKK,BOOKED,DEFAULT,1035
785eff11655247718d95b1f7a2f5cb8c,e012264a41a44d28b32f66f40200bb8e,2025-10-10,Overførsel,2000.0,DKK,BOOKED,TRANSFER,1001
115a3296f7e54cb48ac1037146f6e44a,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-09,Baresso,-24.900000000000002,DKK,BOOKED,DEFAULT,1037
685309647bb9484e8c087df6b5fe5d1f,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-09,Nemlig.com,-569.8000000000001,DKK,BOOKED,DEFAULT,1036
9329e1bba3ca47a98f6b4a3a58103bb6,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-06,Fakta,-299.90000000000003,DKK,BOOKED,DEFAULT,1038
d35705e5e5c74f1dbabf80fcf1e9941a,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-06,Dsb,-279.0,DKK,BOOKED,DEFAULT,1039
a037c8ffd16343d6971176cc99852a9b,7f516dc6ddf5450f86f30b9fe0ba67ea,2025-10-05,Tryg,-348.5,DKK,BOOKED,DEFAULT,1040
