id,accountId,date,description,amount,currency,status,type,providerTransactionId
b3b252fa057c4a1492bd3cdb8cfc5d23,c933b12ce50c48dcb4208e2d5fe59c4e,2025-11-01,Ränta,-37.2,SEK,BOOKED,DEFAULT,1002
b49a3f1568e44a23b2d21fc63c46ba66,c933b12ce50c48dcb4208e2d5fe59c4e,2025-11-01,Vapiano,-179.9,SEK,PENDING,DEFAULT,1001
50b0fdd72e03433fb7702aea4c0bcb99,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-30,Wayne's Coffee,-24.900000000000002,SEK,BOOKED,DEFAULT,1004
c41a4a81ed654ab997a2803288436fd9,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-30,The Bishops Arms,-86.80000000000001,SEK,BOOKED,DEFAULT,1003
3171623efd6a4180b7b22a33da2aeb53,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-28,Bredbandsbolaget,-239.9,SEK,BOOKED,DEFAULT,1005
f4accbc895a149f48f791167cbe46eb0,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-28,Mcdonalds,-56.900000000000006,SEK,BOOKED,DEFAULT,1006
8097c31a42ef4684be0c6963ea3bf829,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-27,Storstockholms Lokaltrafik,-279.0,SEK,BOOKED,DEFAULT,1009
c3bdabfc587f466497a31cc5724c111d,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-27,Ica,-299.90000000000003,SEK,BOOKED,DEFAULT,1008
eb5792f1f0344f62a44bc921b9dd08dd,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-27,Shell,-400.0,SEK,BOOKED,DEFAULT,1007
5782e1068911419586f68430808ed130,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-26,Stadium,-977.1,SEK,BOOKED,DEFAULT,1010
a6845416d7394e418740102a86886a1f,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-26,Fortum,-340.0,SEK,BOOKED,DEFAULT,1011
c98aea43801741d99662fd6a3ebbcc92,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-25,Zara,-97.9,SEK,BOOKED,DEFAULT,1012
5483d235f47845bd97657a3cf0df422e,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-24,Starbucks,-37.9,SEK,BOOKED,DEFAULT,1013
5ee87b050b04444487991c196eb42f6d,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-23,H&M,-239.9,SEK,BOOKED,DEFAULT,1014
b5af86561c45425a93cdd0e0db5b6a74,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-23,Wayne's Coffee,-24.900000000000002,SEK,BOOKED,DEFAULT,1015
4964896a05e3494da0f9834b6b1a21f7,c933b12ce50c48dcb4208e2d5fe59c4e,2025-10-22,Hemköp,-536.6,SEK,BOOKED,DEFAULT,1016
