stats_id,user_id,account_id,total_transactions,avg_transactions_value,largest_transaction
stats_1,USR601Ie,CUST_0159,43,5562.13,104974.48
stats_2,USR784ar,CUST_0017,49,5329.34,247647.06
stats_3,USR821Id,CUST_0094,48,502.49,6177.84
stats_4,USR559Pi,CUST_0162,60,1723.64,72561.91
stats_5,USR200Qr,CUST_0129,53,5177.33,137850.83
stats_6,USR674rM,CUST_0071,56,1126.94,45596.39
stats_7,USR240hY,CUST_0165,46,3421.65,133788.47
stats_8,USR778Dk,CUST_0147,46,1704.35,52249.94
stats_9,USR546jz,CUST_0116,63,491.47,6448.22
stats_10,USR663xt,CUST_0150,52,360.7,6121.45
stats_11,USR661vO,CUST_0048,58,1516.35,74246.46
stats_12,USR451OQ,CUST_0110,55,5403.58,223326.51
stats_13,USR691Fc,CUST_0072,55,452.73,14662.15
stats_14,USR479Ei,CUST_0100,45,4816.15,138404.27
stats_15,USR581oW,CUST_0199,44,4520.1,166627.35
stats_16,USR847gv,CUST_0008,53,2451.58,107525.35
stats_17,USR759Fr,CUST_0065,44,7395.06,239228.17
stats_18,USR689zf,CUST_0136,58,3383.07,169033.95
stats_19,USR007mU,CUST_0023,60,268.15,4218.34
stats_20,USR491Th,CUST_0193,38,5394.03,196369.28
stats_21,USR813QZ,CUST_0041,44,912.27,22279.68
stats_22,USR343dk,CUST_0190,42,8908.19,352230.76
stats_23,USR291BJ,CUST_0163,43,13707.74,240833.83
stats_24,USR335Sx,CUST_0155,62,328.77,5295.14
stats_25,USR818nO,CUST_0064,59,2640.14,121426.99
stats_26,USR375sC,CUST_0021,39,11061.83,309905.6
stats_27,USR271eY,CUST_0050,50,5957.01,274630.42
stats_28,USR253Hy,CUST_0109,54,293.24,3805.35
stats_29,USR944dh,CUST_0156,47,7374.61,337617.55
stats_30,USR418ju,CUST_0083,57,2359.86,112518.54
stats_31,USR896kh,CUST_0180,48,249.04,1935.14
stats_32,USR961UU,CUST_0028,49,920.62,34567.49
stats_33,USR324Nf,CUST_0140,47,2691.31,53345.01
stats_34,USR500hm,CUST_0038,45,7608.73,330956.88
stats_35,USR539EC,CUST_0191,57,7960.67,220002.74
stats_36,USR053xd,CUST_0001,46,227.58,1617.1
stats_37,USR082ip,CUST_0073,50,4223.27,147254.26
stats_38,USR721Xc,CUST_0107,47,1528.18,42886.51
stats_39,USR242VN,CUST_0058,55,6009.66,319220.4
stats_40,USR598GE,CUST_0043,48,5221.46,129871.71
stats_41,USR511YG,CUST_0145,45,1316.88,47534.53
stats_42,USR360hy,CUST_0042,50,565.15,6863.9
stats_43,USR430vt,CUST_0046,44,439.93,5773.76
stats_44,USR244Uu,CUST_0011,51,626.27,10114.45
stats_45,USR478AY,CUST_0024,53,3721.59,170583.42
stats_46,USR215xz,CUST_0130,51,517.85,5185.76
stats_47,USR247kd,CUST_0057,56,1645.61,84389.3
stats_48,USR207DW,CUST_0091,64,976.05,42790.8
stats_49,USR258us,CUST_0030,44,369.69,5654.33
stats_50,USR534tr,CUST_0053,42,1405.08,48468.04
stats_51,USR139BK,CUST_0027,57,3563.17,100056.35
stats_52,USR465GL,CUST_0063,57,403.54,5011.25
stats_53,USR628KZ,CUST_0132,46,313.45,4596.37
stats_54,USR726Lh,CUST_0022,55,204.13,1487.04
stats_55,USR423EB,CUST_0182,50,835.15,20934.52
stats_56,USR380Yw,CUST_0188,52,292.63,2603.85
stats_57,USR653TK,CUST_0154,43,5193.13,213166.43
stats_58,USR271Yo,CUST_0122,45,344.68,3452.17
stats_59,USR574tK,CUST_0096,41,363.2,6999.0
stats_60,USR572qw,CUST_0104,58,8200.84,221971.79
stats_61,USR925Mf,CUST_0076,39,435.31,3614.0
stats_62,USR201Zu,CUST_0126,56,480.06,7111.15
stats_63,USR425DX,CUST_0194,61,342.81,3441.79
stats_64,USR388wJ,CUST_0035,55,6776.16,244977.8
stats_65,USR068Xr,CUST_0033,45,15029.93,241921.72
stats_66,USR223cE,CUST_0195,55,4824.09,170911.33
stats_67,USR031uI,CUST_0115,55,1354.73,61377.57
stats_68,USR151Xg,CUST_0002,55,1745.09,66772.13
stats_69,USR013pA,CUST_0112,58,5298.63,220355.95
stats_70,USR579jO,CUST_0066,45,7295.84,155475.75
stats_71,USR621BM,CUST_0020,44,1725.84,64899.6
stats_72,USR592gD,CUST_0077,50,369.94,6645.43
stats_73,USR140si,CUST_0146,41,1620.74,54472.59
stats_74,USR596jh,CUST_0197,44,504.61,14365.92
stats_75,USR691El,CUST_0198,40,6347.75,246679.84
stats_76,USR062rU,CUST_0164,47,359.1,3715.36
stats_77,USR628kq,CUST_0121,57,4741.13,211350.01
stats_78,USR421bB,CUST_0070,46,385.41,6251.28
stats_79,USR376hP,CUST_0052,53,320.53,1997.5
stats_80,USR001YL,CUST_0185,54,3982.41,205093.33
stats_81,USR756hT,CUST_0047,50,6657.57,325127.03
stats_82,USR148zM,CUST_0189,50,588.05,6872.4
stats_83,USR496UB,CUST_0176,61,479.32,6837.61
stats_84,USR739ei,CUST_0004,45,764.29,6673.06
stats_85,USR461nX,CUST_0103,49,5129.62,238038.57
stats_86,USR313nW,CUST_0005,52,342.46,2127.33
stats_87,USR626gZ,CUST_0007,52,2066.79,90668.52
stats_88,USR746kv,CUST_0135,44,742.83,21481.8
stats_89,USR632NW,CUST_0010,54,1840.29,88286.88
stats_90,USR765RD,CUST_0143,55,264.22,3978.4
stats_91,USR756uA,CUST_0036,57,389.6,3824.22
stats_92,USR619km,CUST_0160,51,1847.38,45856.74
stats_93,USR040Ko,CUST_0018,43,373.5,4421.08
stats_94,USR268Dy,CUST_0184,47,4776.47,190283.81
stats_95,USR708ic,CUST_0120,61,432.48,4108.66
stats_96,USR737zJ,CUST_0178,55,281.21,4926.71
stats_97,USR074qk,CUST_0045,38,488.26,7001.64
stats_98,USR552iz,CUST_0026,46,2282.49,80965.09
stats_99,USR383GT,CUST_0074,57,435.19,6842.24
stats_100,USR605Px,CUST_0102,47,3655.02,166202.6
stats_101,USR494kt,CUST_0039,40,12459.15,276733.01
stats_102,USR774PR,CUST_0014,61,1326.25,59697.35
stats_103,USR990MJ,CUST_0142,72,3282.17,177421.04
stats_104,USR651Yc,CUST_0123,55,332.58,3789.27
stats_105,USR996DQ,CUST_0114,56,418.09,4637.35
stats_106,USR270YP,CUST_0034,39,12947.4,297403.4
stats_107,USR605nX,CUST_0111,48,276.48,3212.97
stats_108,USR793Ca,CUST_0092,42,3480.89,136263.44
stats_109,USR100df,CUST_0093,49,936.03,36361.65
stats_110,USR840Fs,CUST_0183,47,285.63,2273.32
stats_111,USR472to,CUST_0090,48,321.99,4864.58
stats_112,USR847Vu,CUST_0108,51,529.55,7930.89
stats_113,USR932HS,CUST_0075,54,4156.61,190421.89
stats_114,USR646Eg,CUST_0187,48,3837.67,169207.4
stats_115,USR258SD,CUST_0113,47,4105.76,166311.73
stats_116,USR465Of,CUST_0196,47,418.62,4467.84
