stats_id,user_id,account_id,month_start_date,total_amount,total_transactions,total_spend,total_receive,avg_transaction_value,largest,largest_abs,spending_by_category
stats_1,USR601Ie,CUST_0159,2023-01-01,6.85,1,0.0,6.85,6.85,6.85,6.85,"{""Subscriptions"": 1}"
stats_2,USR601Ie,CUST_0159,2023-02-01,367.56,2,0.0,367.56,183.78,323.36,323.36,"{""Hobbies"": 2}"
stats_3,USR601Ie,CUST_0159,2023-03-01,1462.54,3,0.0,1462.54,487.51,889.19,889.19,"{""Medical/Dental"": 1, ""Friend Activities"": 1, ""Subscriptions"": 1}"
stats_4,USR601Ie,CUST_0159,2023-04-01,67.37,2,0.0,67.37,33.68,54.61,54.61,"{""Subscriptions"": 1, ""Personal Hygiene"": 1}"
stats_5,USR601Ie,CUST_0159,2023-05-01,347.66,2,0.0,347.66,173.83,236.88,236.88,"{""Fitness"": 1, ""Medical/Dental"": 1}"
stats_6,USR601Ie,CUST_0159,2023-06-01,553.38,2,0.0,553.38,276.69,310.01,310.01,"{""Medical/Dental"": 1, ""Hobbies"": 1}"
stats_7,USR601Ie,CUST_0159,2023-07-01,6.43,1,0.0,6.43,6.43,6.43,6.43,"{""Food"": 1}"
stats_8,USR601Ie,CUST_0159,2023-08-01,132.49,2,0.0,132.49,66.24,104.24,104.24,"{""Hobbies"": 1, ""Groceries"": 1}"
stats_9,USR601Ie,CUST_0159,2023-09-01,361.13,2,0.0,361.13,180.56,195.63,195.63,"{""Friend Activities"": 2}"
stats_10,USR601Ie,CUST_0159,2023-11-01,1101.31,3,0.0,1101.31,367.1,528.75,528.75,"{""Hobbies"": 1, ""Transportation"": 1, ""Shopping"": 1}"
stats_11,USR601Ie,CUST_0159,2023-12-01,725.34,3,0.0,725.34,241.78,644.26,644.26,"{""Friend Activities"": 1, ""Food"": 1, ""Medical/Dental"": 1}"
stats_12,USR601Ie,CUST_0159,2024-01-01,6651.36,1,0.0,6651.36,6651.36,6651.36,6651.36,"{""Housing and Utilities"": 1}"
stats_13,USR601Ie,CUST_0159,2024-02-01,39724.3,2,0.0,39724.3,19862.15,39134.7,39134.7,"{""Shopping"": 1, ""Fitness"": 1}"
stats_14,USR601Ie,CUST_0159,2024-05-01,2124.75,3,0.0,2124.75,708.25,1966.67,1966.67,"{""Personal Hygiene"": 1, ""Gifts"": 1, ""Food"": 1}"
stats_15,USR601Ie,CUST_0159,2024-06-01,593.42,3,0.0,593.42,197.81,397.49,397.49,"{""Medical/Dental"": 1, ""Housing and Utilities"": 1, ""Food"": 1}"
stats_16,USR601Ie,CUST_0159,2024-07-01,76562.77,4,0.0,76562.77,19140.69,76337.16,76337.16,"{""Groceries"": 1, ""Friend Activities"": 1, ""Travel"": 1, ""Shopping"": 1}"
stats_17,USR601Ie,CUST_0159,2024-09-01,479.0,2,0.0,479.0,239.5,390.67,390.67,"{""Shopping"": 1, ""Housing and Utilities"": 1}"
stats_18,USR601Ie,CUST_0159,2024-10-01,855.79,1,0.0,855.79,855.79,855.79,855.79,"{""Friend Activities"": 1}"
stats_19,USR601Ie,CUST_0159,2024-11-01,1.28,1,0.0,1.28,1.28,1.28,1.28,"{""Groceries"": 1}"
stats_20,USR601Ie,CUST_0159,2024-12-01,106710.9,2,0.0,106710.9,53355.45,104974.48,104974.48,"{""Shopping"": 2}"
stats_21,USR601Ie,CUST_0159,2025-01-01,336.01,1,0.0,336.01,336.01,336.01,336.01,"{""Fitness"": 1}"
stats_22,USR784ar,CUST_0017,2023-01-01,25.63,1,0.0,25.63,25.63,25.63,25.63,"{""Gifts"": 1}"
stats_23,USR784ar,CUST_0017,2023-02-01,1060.3,3,0.0,1060.3,353.43,853.8,853.8,"{""Hobbies"": 1, ""Fitness"": 1, ""Housing and Utilities"": 1}"
stats_24,USR784ar,CUST_0017,2023-04-01,235.22,2,0.0,235.22,117.61,220.17,220.17,"{""Gifts"": 1, ""Groceries"": 1}"
stats_25,USR784ar,CUST_0017,2023-05-01,885.59,3,0.0,885.59,295.2,674.83,674.83,"{""Friend Activities"": 1, ""Housing and Utilities"": 1, ""Travel"": 1}"
stats_26,USR784ar,CUST_0017,2023-06-01,498.4,2,0.0,498.4,249.2,462.74,462.74,"{""Medical/Dental"": 1, ""Travel"": 1}"
stats_27,USR784ar,CUST_0017,2023-07-01,499.65,2,0.0,499.65,249.82,309.78,309.78,"{""Transportation"": 1, ""Travel"": 1}"
stats_28,USR784ar,CUST_0017,2023-08-01,2356.62,3,0.0,2356.62,785.54,1461.1,1461.1,"{""Housing and Utilities"": 1, ""Gifts"": 1, ""Subscriptions"": 1}"
stats_29,USR784ar,CUST_0017,2023-10-01,525.88,1,0.0,525.88,525.88,525.88,525.88,"{""Medical/Dental"": 1}"
stats_30,USR784ar,CUST_0017,2023-11-01,5.7,1,0.0,5.7,5.7,5.7,5.7,"{""Food"": 1}"
stats_31,USR784ar,CUST_0017,2023-12-01,70.5,4,0.0,70.5,17.62,54.54,54.54,"{""Transportation"": 2, ""Personal Hygiene"": 1, ""Groceries"": 1}"
stats_32,USR784ar,CUST_0017,2024-01-01,19.75,1,0.0,19.75,19.75,19.75,19.75,"{""Groceries"": 1}"
stats_33,USR784ar,CUST_0017,2024-02-01,661.09,3,0.0,661.09,220.36,474.14,474.14,"{""Housing and Utilities"": 1, ""Travel"": 1, ""Food"": 1}"
stats_34,USR784ar,CUST_0017,2024-03-01,1145.96,1,0.0,1145.96,1145.96,1145.96,1145.96,"{""Travel"": 1}"
stats_35,USR784ar,CUST_0017,2024-04-01,228.83,2,0.0,228.83,114.42,224.19,224.19,"{""Groceries"": 1, ""Food"": 1}"
stats_36,USR784ar,CUST_0017,2024-05-01,2496.31,4,0.0,2496.31,624.08,2285.1,2285.1,"{""Personal Hygiene"": 2, ""Fitness"": 2}"
stats_37,USR784ar,CUST_0017,2024-06-01,1705.88,3,0.0,1705.88,568.63,974.99,974.99,"{""Gifts"": 2, ""Travel"": 1}"
stats_38,USR784ar,CUST_0017,2024-07-01,247931.95,3,0.0,247931.95,82643.98,247647.06,247647.06,"{""Shopping"": 1, ""Medical/Dental"": 1, ""Groceries"": 1}"
stats_39,USR784ar,CUST_0017,2024-08-01,56.7,1,0.0,56.7,56.7,56.7,56.7,"{""Food"": 1}"
stats_40,USR784ar,CUST_0017,2024-09-01,414.12,1,0.0,414.12,414.12,414.12,414.12,"{""Shopping"": 1}"
stats_41,USR784ar,CUST_0017,2024-10-01,101.95,2,0.0,101.95,50.98,82.86,82.86,"{""Fitness"": 1, ""Personal Hygiene"": 1}"
stats_42,USR784ar,CUST_0017,2024-11-01,11.2,1,0.0,11.2,11.2,11.2,11.2,"{""Subscriptions"": 1}"
stats_43,USR784ar,CUST_0017,2024-12-01,200.19,5,0.0,200.19,40.04,86.43,86.43,"{""Personal Hygiene"": 1, ""Gifts"": 1, ""Housing and Utilities"": 1, ""Transportation"": 1, ""Groceries"": 1}"
stats_44,USR821Id,CUST_0094,2023-01-01,6181.95,2,0.0,6181.95,3090.98,6177.84,6177.84,"{""Groceries"": 1, ""Housing and Utilities"": 1}"
stats_45,USR821Id,CUST_0094,2023-02-01,345.88,2,0.0,345.88,172.94,311.39,311.39,"{""Travel"": 1, ""Subscriptions"": 1}"
stats_46,USR821Id,CUST_0094,2023-03-01,29.0,1,0.0,29.0,29.0,29.0,29.0,"{""Food"": 1}"
stats_47,USR821Id,CUST_0094,2023-04-01,120.0,2,0.0,120.0,60.0,75.5,75.5,"{""Housing and Utilities"": 1, ""Travel"": 1}"
stats_48,USR821Id,CUST_0094,2023-05-01,71.33,2,0.0,71.33,35.66,47.66,47.66,"{""Personal Hygiene"": 1, ""Food"": 1}"
stats_49,USR821Id,CUST_0094,2023-06-01,3808.91,2,0.0,3808.91,1904.46,3796.62,3796.62,"{""Shopping"": 1, ""Food"": 1}"
stats_50,USR821Id,CUST_0094,2023-07-01,448.06,3,0.0,448.06,149.35,209.06,209.06,"{""Shopping"": 2, ""Hobbies"": 1}"
stats_51,USR821Id,CUST_0094,2023-08-01,228.12,1,0.0,228.12,228.12,228.12,228.12,"{""Medical/Dental"": 1}"
stats_52,USR821Id,CUST_0094,2023-09-01,184.65,2,0.0,184.65,92.32,159.66,159.66,"{""Food"": 1, ""Fitness"": 1}"
stats_53,USR821Id,CUST_0094,2023-10-01,3556.14,2,0.0,3556.14,1778.07,2968.83,2968.83,"{""Housing and Utilities"": 1, ""Medical/Dental"": 1}"
stats_54,USR821Id,CUST_0094,2023-11-01,479.39,3,0.0,479.39,159.8,396.98,396.98,"{""Transportation"": 2, ""Gifts"": 1}"
stats_55,USR821Id,CUST_0094,2023-12-01,2108.79,4,0.0,2108.79,527.2,1988.81,1988.81,"{""Housing and Utilities"": 1, ""Personal Hygiene"": 1, ""Fitness"": 1, ""Groceries"": 1}"
stats_56,USR821Id,CUST_0094,2024-01-01,535.05,1,0.0,535.05,535.05,535.05,535.05,"{""Travel"": 1}"
stats_57,USR821Id,CUST_0094,2024-02-01,489.79,2,0.0,489.79,244.9,478.11,478.11,"{""Travel"": 1, ""Subscriptions"": 1}"
stats_58,USR821Id,CUST_0094,2024-03-01,1228.73,3,0.0,1228.73,409.58,709.7,709.7,"{""Groceries"": 1, ""Travel"": 1, ""Shopping"": 1}"
stats_59,USR821Id,CUST_0094,2024-04-01,607.69,3,0.0,607.69,202.56,391.45,391.45,"{""Shopping"": 1, ""Fitness"": 1, ""Food"": 1}"
stats_60,USR821Id,CUST_0094,2024-06-01,411.07,4,0.0,411.07,102.77,229.58,229.58,"{""Transportation"": 2, ""Travel"": 1, ""Hobbies"": 1}"
stats_61,USR821Id,CUST_0094,2024-07-01,1824.01,1,0.0,1824.01,1824.01,1824.01,1824.01,"{""Fitness"": 1}"
stats_62,USR821Id,CUST_0094,2024-08-01,259.57,1,0.0,259.57,259.57,259.57,259.57,"{""Travel"": 1}"
stats_63,USR821Id,CUST_0094,2024-09-01,215.75,2,0.0,215.75,107.88,160.15,160.15,"{""Fitness"": 1, ""Subscriptions"": 1}"
stats_64,USR821Id,CUST_0094,2024-10-01,40.4,2,0.0,40.4,20.2,34.44,34.44,"{""Personal Hygiene"": 1, ""Hobbies"": 1}"
stats_65,USR821Id,CUST_0094,2024-11-01,818.05,2,0.0,818.05,409.02,533.01,533.01,"{""Shopping"": 1, ""Gifts"": 1}"
stats_66,USR821Id,CUST_0094,2025-01-01,127.41,1,0.0,127.41,127.41,127.41,127.41,"{""Shopping"": 1}"
stats_67,USR559Pi,CUST_0162,2023-01-01,794.06,2,0.0,794.06,397.03,783.44,783.44,"{""Subscriptions"": 1, ""Gifts"": 1}"
stats_68,USR559Pi,CUST_0162,2023-02-01,87.85,2,0.0,87.85,43.92,74.04,74.04,"{""Gifts"": 1, ""Food"": 1}"
stats_69,USR559Pi,CUST_0162,2023-03-01,140.64,2,0.0,140.64,70.32,71.74,71.74,"{""Groceries"": 1, ""Hobbies"": 1}"
stats_70,USR559Pi,CUST_0162,2023-04-01,72623.02,2,0.0,72623.02,36311.51,72561.91,72561.91,"{""Medical/Dental"": 1, ""Shopping"": 1}"
stats_71,USR559Pi,CUST_0162,2023-05-01,266.56,3,0.0,266.56,88.85,184.01,184.01,"{""Fitness"": 1, ""Transportation"": 1, ""Friend Activities"": 1}"
stats_72,USR559Pi,CUST_0162,2023-06-01,60.48,1,0.0,60.48,60.48,60.48,60.48,"{""Housing and Utilities"": 1}"
stats_73,USR559Pi,CUST_0162,2023-07-01,88.69,3,0.0,88.69,29.56,42.95,42.95,"{""Gifts"": 1, ""Housing and Utilities"": 1, ""Groceries"": 1}"
stats_74,USR559Pi,CUST_0162,2023-08-01,540.19,3,0.0,540.19,180.06,254.3,254.3,"{""Gifts"": 1, ""Hobbies"": 1, ""Transportation"": 1}"
stats_75,USR559Pi,CUST_0162,2023-09-01,371.25,5,0.0,371.25,74.25,321.43,321.43,"{""Subscriptions"": 2, ""Groceries"": 2, ""Food"": 1}"
