user_id,iso_score,lof_score,anomaly_score,iso_flag,lof_flag,is_anomaly,severity,vel_1d,vel_7d,vel_30d,count_30d,accounts.COUNT(transactions),avg_amt_30d,accounts.MEAN(transactions.amount),accounts.MAX(transactions.amount),accounts.MEAN(monthly_stats.total_spend),accounts.MAX(monthly_stats.total_spend),accounts.SUM(monthly_stats.total_spend),accounts.balances_current,days_since_last,accounts.TIME_SINCE_LAST(transactions.date),merchant_diversity,new_merchant_count,task_segment,top_category,top_merchant,primary_spending_trend
USR601Ie,28.61,11.96,20.28,False,False,False,Normal,1.0,1.0,2.0,2.0,43,52655.245,5562.131162790698,104974.48,0.0,0.0,0.0,5441.53,0.0,26438400.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Shopping
USR784ar,20.05,0.55,10.3,False,False,False,Normal,1.0,3.0,5.0,5.0,49,40.038,5329.335102040816,247647.06,0.0,0.0,0.0,5905.18,0.0,27129600.0,0.06,3.0,Healthy Active User,Shopping,In-store,Surging in Transportation
USR821Id,2.08,0.35,1.21,False,False,False,Normal,1.0,1.0,1.0,1.0,48,127.41,502.49458333333337,6177.84,0.0,0.0,0.0,1941.35,0.0,25920000.0,0.06,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Shopping
USR559Pi,4.04,0.09,2.07,False,False,False,Normal,1.0,1.0,3.0,3.0,60,759.1666666666669,1723.643166666667,72561.91,0.0,0.0,0.0,4873.83,0.0,25833600.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Personal Hygiene
USR200Qr,5.88,0.28,3.08,False,False,False,Normal,1.0,1.0,3.0,3.0,53,418.85666666666674,5177.333773584905,137850.83,0.0,0.0,0.0,4669.34,0.0,25920000.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts
USR674rM,6.5,0.77,3.63,False,False,False,Normal,1.0,2.0,5.0,5.0,56,195.888,1126.9358928571428,45596.39,0.0,0.0,0.0,1878.54,0.0,27043200.0,0.05,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Gifts
USR240hY,7.19,0.56,3.88,False,False,False,Normal,1.0,2.0,2.0,2.0,46,307.85,3421.651086956522,133788.47,0.0,0.0,0.0,1859.21,0.0,25660800.0,0.07,3.0,Consistent Weekly,Shopping,In-store,Surging in Travel
USR778Dk,5.96,0.57,3.27,False,False,False,Normal,1.0,2.0,2.0,2.0,46,2335.455,1704.3506521739132,52249.94,0.0,0.0,0.0,2556.62,0.0,27388800.0,0.07,3.0,Consistent Weekly,Shopping,Online,Surging in Subscriptions
USR546jz,2.58,0.8,1.69,False,False,False,Normal,1.0,2.0,3.0,3.0,63,161.9333333333333,491.4668253968254,6448.22,0.0,0.0,0.0,3230.87,0.0,25920000.0,0.05,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Fitness
USR663xt,10.22,10.85,10.54,False,False,False,Normal,2.0,2.0,5.0,5.0,52,153.41400000000004,360.7036538461538,6121.45,0.0,0.0,0.0,5150.56,0.0,27216000.0,0.06,3.0,Consistent Weekly,Housing and Utilities,Mobile App,Surging in Hobbies
USR661vO,6.49,0.0,3.25,False,False,False,Normal,1.0,1.0,1.0,1.0,58,10.97,1516.3505172413793,74246.46,0.0,0.0,0.0,8138.98,0.0,25920000.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Subscriptions
USR451OQ,47.31,33.21,40.26,True,True,True,Medium,1.0,1.0,2.0,2.0,55,111677.965,5403.577454545455,223326.51,0.0,0.0,0.0,1948.59,0.0,28252800.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Shopping
USR691Fc,2.71,1.27,1.99,False,False,False,Normal,1.0,1.0,4.0,4.0,55,173.9375,452.7343636363637,14662.15,0.0,0.0,0.0,3383.49,0.0,28857600.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Transportation
USR479Ei,6.5,0.31,3.4,False,False,False,Normal,1.0,1.0,2.0,2.0,45,113.755,4816.148222222222,138404.27,0.0,0.0,0.0,3805.56,0.0,26611200.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Friend Activities
USR581oW,12.18,0.12,6.15,False,False,False,Normal,1.0,1.0,1.0,1.0,44,157.56,4520.097272727274,166627.35,0.0,0.0,0.0,9561.65,0.0,27216000.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies
USR847gv,4.28,0.83,2.56,False,False,False,Normal,1.0,1.0,3.0,3.0,53,60.51,2451.581886792453,107525.35,0.0,0.0,0.0,2315.97,0.0,26784000.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Groceries
USR759Fr,16.42,1.01,8.71,False,False,False,Normal,1.0,1.0,4.0,4.0,44,68.2125,7395.055454545454,239228.17,0.0,0.0,0.0,8702.14,0.0,25574400.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Friend Activities
USR689zf,8.89,0.09,4.49,False,False,False,Normal,1.0,2.0,3.0,3.0,58,464.0199999999999,3383.074310344828,169033.95,0.0,0.0,0.0,1944.8,0.0,27388800.0,0.05,3.0,Consistent Weekly,Shopping,Online,Surging in Personal Hygiene
USR007mU,4.01,0.47,2.24,False,False,False,Normal,1.0,1.0,1.0,1.0,60,3.79,268.14500000000004,4218.34,0.0,0.0,0.0,564.48,0.0,26697600.0,0.05,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Groceries
USR491Th,12.31,0.06,6.18,False,False,False,Normal,1.0,1.0,2.0,2.0,38,348.725,5394.025263157894,196369.28,0.0,0.0,0.0,5847.74,0.0,25833600.0,0.08,3.0,Single-Tasker,Shopping,Mobile App,Surging in Friend Activities
USR813QZ,5.49,13.1,9.29,False,False,False,Normal,1.0,1.0,3.0,3.0,44,7470.366666666666,912.270681818182,22279.68,0.0,0.0,0.0,3754.74,0.0,27388800.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Shopping
USR343dk,28.23,2.65,15.44,False,False,False,Normal,1.0,1.0,2.0,2.0,42,2619.04,8908.194523809523,352230.76,0.0,0.0,0.0,8581.51,0.0,27561600.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Shopping
USR291BJ,26.8,6.14,16.47,False,False,False,Normal,1.0,1.0,3.0,3.0,43,58.626666666666665,13707.738372093025,240833.83,0.0,0.0,0.0,8416.34,0.0,27388800.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Groceries
USR335Sx,2.64,0.54,1.59,False,False,False,Normal,1.0,1.0,2.0,2.0,62,1444.575,328.7737096774194,5295.14,0.0,0.0,0.0,9081.43,0.0,26784000.0,0.05,3.0,Single-Tasker,Housing and Utilities,In-store,Surging in Housing and Utilities
USR818nO,23.09,6.25,14.67,False,False,False,Normal,2.0,3.0,5.0,5.0,59,4215.528,2640.141525423729,121426.99,0.0,0.0,0.0,4718.49,0.0,27388800.0,0.05,3.0,Healthy Active User,Shopping,Online,Surging in Fitness
USR375sC,28.52,3.38,15.95,False,False,False,Normal,1.0,1.0,2.0,2.0,39,10.07,11061.831794871794,309905.6,0.0,0.0,0.0,1970.88,0.0,27216000.0,0.08,3.0,Single-Tasker,Shopping,In-store,Surging in Subscriptions
USR271eY,16.42,0.86,8.64,False,False,False,Normal,1.0,1.0,3.0,3.0,50,2587.1633333333334,5957.0122,274630.42,0.0,0.0,0.0,2373.05,0.0,26352000.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Hobbies
USR253Hy,1.69,1.12,1.41,False,False,False,Normal,1.0,2.0,2.0,2.0,54,71.33,293.2401851851852,3805.35,0.0,0.0,0.0,1280.11,0.0,25920000.0,0.06,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Hobbies
USR944dh,22.83,1.79,12.31,False,False,False,Normal,1.0,1.0,2.0,2.0,47,708.23,7374.609361702127,337617.55,0.0,0.0,0.0,3230.22,0.0,25574400.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Friend Activities
USR418ju,7.57,1.16,4.37,False,False,False,Normal,1.0,1.0,4.0,4.0,57,782.7075,2359.857192982456,112518.54,0.0,0.0,0.0,9831.78,0.0,25574400.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts
USR896kh,0.0,0.03,0.02,False,False,False,Normal,1.0,1.0,3.0,3.0,48,162.25666666666666,249.045,1935.14,0.0,0.0,0.0,7594.49,0.0,25574400.0,0.06,3.0,Single-Tasker,Gifts,Mobile App,Surging in Subscriptions
USR961UU,1.37,2.38,1.87,False,False,False,Normal,1.0,1.0,3.0,3.0,49,57.38999999999999,920.6226530612244,34567.49,0.0,0.0,0.0,6910.58,0.0,28857600.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies
USR324Nf,4.87,0.74,2.81,False,False,False,Normal,1.0,1.0,4.0,4.0,47,33.3325,2691.3106382978726,53345.01,0.0,0.0,0.0,7786.15,0.0,27216000.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Personal Hygiene
USR500hm,22.01,1.67,11.84,False,False,False,Normal,1.0,2.0,3.0,3.0,45,57.373333333333335,7608.732666666666,330956.88,0.0,0.0,0.0,7400.45,0.0,26006400.0,0.07,3.0,Consistent Weekly,Shopping,In-store,Surging in Friend Activities
USR539EC,19.68,1.86,10.77,False,False,False,Normal,1.0,1.0,1.0,1.0,57,2094.25,7960.667894736842,220002.74,0.0,0.0,0.0,3076.92,0.0,25833600.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Personal Hygiene
