user_id,forecast_month,segment,n_months_history,spend_forecast,spend_lower,spend_upper,spend_method,spend_direction,spend_pct_change_vs_hist,spend_vs_last_month_pct,count_forecast,count_lower,count_upper,count_method,avg_amount_forecast,hist_avg_spend,hist_avg_count,last_month_spend,last_month_count,confidence,cat1_name,cat1_forecast,cat1_hist_avg,cat2_name,cat2_forecast,cat2_hist_avg,cat3_name,cat3_forecast,cat3_hist_avg
USR000Ux,2025-11,Single-Tasker,2,2000.0,1600.0,2400.0,wma,stable,0.0,0.0,1,1,1,wma,2000.0,2000.0,1.0,2000.0,1,low,Other,2000.0,2000.0,,,,,,
USR001YL,2025-02,Consistent Weekly,22,12843.18,0.0,70284.56,prophet,increasing,31.4,1011.6,2,1,4,prophet,6421.59,9775.01,2.5,1155.38,1,high,Shopping,136765.56,102601.68,Gifts,761.0,377.74,Fitness,490.57,417.43
USR001ul,2025-11,Single-Tasker,25,25.25,19.48,31.29,prophet,decreasing,-10.5,498.3,2,2,2,prophet,12.62,28.22,2.0,4.22,1,high,Finance,16.72,28.22,,,,,,
USR002SI,2025-11,Healthy Active User,25,3980.95,2444.22,5644.02,prophet,stable,-0.2,696.2,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,high,Finance,2578.5,2690.61,Fitness,578.5,578.5,Food and Dining,500.0,521.74
USR006To,2025-11,Healthy Active User,2,1542.83,1234.27,1851.4,wma,decreasing,-25.3,208.6,3,2,3,wma,514.28,2064.25,3.5,500.0,1,low,Finance,2103.5,2103.5,Transportation,500.0,500.0,Shopping,525.0,525.0
USR007mU,2025-01,Single-Tasker,21,1213.59,0.0,2689.28,prophet,increasing,58.4,31920.8,3,1,5,prophet,404.53,766.13,2.9,3.79,1,high,Housing and Utilities,1356.19,1849.53,Shopping,1655.41,1273.54,Medical/Dental,350.0,388.04
USR009qR,2025-02,Single-Tasker,24,435.75,0.0,2495.43,prophet,decreasing,-53.3,2109.7,2,1,4,prophet,217.88,933.42,2.2,19.72,1,high,Housing and Utilities,1013.69,1552.35,Shopping,1542.8,1872.67,Medical/Dental,708.91,410.54
USR013pA,2025-01,Single-Tasker,23,0.0,0.0,40518.28,prophet,decreasing,-100.0,-100.0,3,2,5,prophet,0.0,13361.75,2.5,529.33,3,high,Shopping,37002.76,59386.9,Travel,923.29,614.15,Fitness,490.69,428.66
USR017aL,2025-11,Single-Tasker,25,534.4,416.52,663.45,prophet,decreasing,-10.4,497.8,5,4,7,prophet,106.88,596.34,5.8,89.4,1,high,Transportation,512.78,511.73,Groceries,89.4,89.4,Food and Dining,16.33,16.33
USR024KD,2025-11,Single-Tasker,1,541.95,433.56,650.34,segment_median,increasing,12742.4,12742.4,1,1,1,wma,541.95,4.22,1.0,4.22,1,low,Finance,4.22,4.22,,,,,,
USR031uI,2025-02,Consistent Weekly,22,9664.54,0.0,26022.92,prophet,increasing,185.4,78155.4,2,1,4,prophet,4832.27,3386.83,2.5,12.35,1,high,Shopping,30971.11,15990.61,Personal Hygiene,1154.4,420.14,Housing and Utilities,1154.87,796.51
USR032gM,2025-11,Healthy Active User,25,3980.95,2376.3,5630.5,prophet,stable,-0.2,696.2,6,4,7,prophet,663.49,3990.72,5.8,500.0,1,high,Finance,2578.5,2690.61,Fitness,578.5,578.5,Food and Dining,500.0,521.74
USR040Ko,2025-02,Single-Tasker,20,913.63,0.0,2213.56,prophet,increasing,13.8,6993.4,2,0,3,prophet,456.81,803.03,2.1,12.88,1,high,Shopping,2261.45,1541.92,Housing and Utilities,858.31,1188.0,Fitness,577.82,398.66
USR051Ap,2025-11,Healthy Active User,25,3980.95,2404.75,5613.81,prophet,stable,-0.2,696.2,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,high,Finance,2578.5,2690.61,Fitness,578.5,578.5,Food and Dining,500.0,521.74
USR053xd,2025-01,Consistent Weekly,22,388.36,0.0,1036.58,prophet,decreasing,-18.4,-28.2,2,1,3,prophet,194.18,475.85,2.1,540.69,2,high,Medical/Dental,205.19,326.99,Travel,135.58,420.04,Fitness,864.35,639.5
