transaction_id,account_id,category_id,date,merchant_name,description,amount,currency_code,payment_channel,pending
c8d1ce2c-3e83-4f5b-bbcd-62f6d5c8c691,CUST_0159,Groceries,2024-11-13,Mobile App,milk,1.28,USD,online,False
32338070-66a7-4089-b940-ffd1681a69e1,CUST_0017,Friend Activities,2023-05-04,In-store,dinner with friends,149.39,USD,other,False
bc548318-d566-4c21-855d-f5890cbc0712,CUST_0094,Housing and Utilities,2023-12-16,Mobile App,water bill,76.06,USD,other,False
8a679efe-48bb-4ad7-89f7-da051c15bd35,CUST_0162,Fitness,2024-01-28,In-store,yoga class,56.18,USD,online,False
41b53be1-bf95-431b-b8e5-16dd54ce1071,CUST_0129,Gifts,2023-07-28,In-store,flowers,131.12,USD,online,False
9b9ced0c-4de9-44b2-8333-d736fa983e5b,CUST_0071,Gifts,2024-07-14,Mobile App,flowers,31.74,USD,online,False
946c6944-4bf5-4c50-b843-a89b4aa0052e,CUST_0165,Transportation,2024-03-08,Mobile App,car repair,371.29,USD,in store,False
13e86c83-771a-4c96-b452-910d8bc66266,CUST_0147,Fitness,2023-01-14,Mobile App,personal trainer,140.59,USD,online,False
909689e6-6c9d-4d02-8f8d-c9521e673341,CUST_0116,Travel,2023-08-15,In-store,plane ticket,1011.41,USD,other,False
8b9fd2eb-8134-4a13-bf31-0778a3f87e81,CUST_0150,Gifts,2024-10-15,Online,kids games,234.2,USD,online,False
9f3fb459-7e6f-4ede-9563-b4a6aab4f264,CUST_0048,Groceries,2023-12-31,In-store,bread,11.92,USD,in store,False
200d8969-58bc-4a5f-a60d-9b5c57daa80d,CUST_0110,Transportation,2023-05-12,In-store,car repair,349.07,USD,in store,False
dbbb1ce0-b9c5-4a85-b0c3-7f46df3db394,CUST_0072,Personal Hygiene,2023-12-15,Mobile App,toothpaste,7.9,USD,other,False
8a72223b-ad3d-4045-8a98-d3012f64c974,CUST_0100,Hobbies,2024-01-06,Mobile App,crochet supplies,244.49,USD,other,False
a73c562b-6d2d-4710-bcfc-52879711e2ee,CUST_0199,Housing and Utilities,2024-11-24,In-store,gas bill,171.23,USD,other,False
626c5430-1114-48d4-8e1d-ab7bbdb366b6,CUST_0008,Gifts,2023-12-29,Mobile App,jewelry,564.54,USD,in store,False
1482e4f5-e820-465a-a90a-8f1eb3f34e09,CUST_0065,Shopping,2023-11-27,In-store,car,239228.17,USD,in store,False
68a23811-d7e5-44bc-a095-ac074a9f6e7b,CUST_0136,Shopping,2023-11-29,In-store,shoes,122.22,USD,online,False
ba9d7b03-2d1f-42fd-80e6-a6e3df229e87,CUST_0023,Medical/Dental,2024-08-15,In-store,dentist visit,333.68,USD,online,False
77ab699e-e6a8-463f-9d72-187ff0810996,CUST_0193,Groceries,2024-01-21,In-store,chicken,29.19,USD,online,False
0891a292-dad6-4b62-9f08-e580162ca8d2,CUST_0041,Shopping,2024-11-06,Online,clothes,113.4,USD,in store,False
225cb2ae-7107-4bb9-80a0-bdd5f9dfae8f,CUST_0190,Groceries,2023-07-26,In-store,snacks,45.43,USD,online,False
06c97766-2946-4e62-844e-c2146b28f371,CUST_0163,Food,2024-04-14,Mobile App,fast food,31.59,USD,other,False
df228a34-c450-4fcd-93d5-734747c780e4,CUST_0155,Food,2024-09-06,In-store,restaurant meal,64.18,USD,other,False
7b5ec4db-6edc-4360-897e-287f2c4389a3,CUST_0064,Groceries,2024-04-18,Mobile App,milk,6.46,USD,online,False
9bcb1017-0031-42d5-8759-4b59c6e078b7,CUST_0021,Travel,2023-01-14,Mobile App,taxi/uber,27.09,USD,other,False
9bf869fd-0fb5-428c-a4dc-d6b063d22360,CUST_0050,Medical/Dental,2023-06-28,Online,doctor visit,55.31,USD,other,False
82e13d83-c216-45d8-a328-16d13168023d,CUST_0109,Transportation,2023-03-16,In-store,public transit,7.15,USD,other,False
3d384b7a-32b8-44e8-ae77-5d2a172cd3bd,CUST_0156,Medical/Dental,2023-12-29,Online,medicine,50.92,USD,online,False
