institution_id,account_id,transaction_id,amount,date,pending,merchant_name,name,category,transaction_type,payment_channel,pending_transaction_id
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,QKD9z6mAP3ugeqEeWZvyTjBV3q9DzPFjoVegZ,89.4,12/10/2025,FALSE,FUN,SparkFun,,place,in store,
ins_109508,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,g8Wvpdk6lmTGEnME9rAgsmyPGaVRqZtyDJ16v,-4.22,11/10/2025,FALSE,,INTRST PYMNT,,special,other,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,WdDKJVzAqPTJkxDkLqQ3f1W3KxBN4wIBMVE9p,500,01/10/2025,FALSE,United Airlines,United Airlines,,special,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,ZNWdb6eAzmsEk4akbWvMTgVad4RpoKFxLBlEx,6.33,29/09/2025,FALSE,Uber,Uber 072515 SF**POOL**,,special,online,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,AeEq16pWyBfEKrpKdXJ8TyA7Qo8KRaHBwmPjZ,500,26/09/2025,FALSE,,Tectra Inc,,place,in store,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,b1W8prgoPmFWGEkGPjA6Iz1Klax3L9tBLeqx1,2078.5,25/09/2025,FALSE,,AUTOMATIC PAYMENT - THANK,,special,online,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,nKnB4ew9x8uWGy9GkR4VIpdEP5GJ87tJk4ben,500,25/09/2025,FALSE,KFC,KFC,,place,in store,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,GpDjwAo6KNTaK91K7bljTrKP3E8DzyCZ9d3Bk,500,25/09/2025,FALSE,,Madison Bicycle Shop,,place,in store,
ins_109508,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,83EW6AqPy9tZwJkwXo9aTvjAb7dwxKfNaBmXD,25,16/09/2025,FALSE,,CREDIT CARD 3333 PAYMENT *//,,special,other,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,MADEl6oVdKtk9W49Lo3xsa9zyPw8kqtmxryWk,5.4,16/09/2025,FALSE,Uber,Uber 063015 SF**POOL**,,special,online,
ins_109508,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,yjnAdy5RJ8SW9ER9v1nMIKkdV4PrnpFgdBA3X,5850,15/09/2025,FALSE,,ACH Electronic CreditGUSTO PAY 123456,,special,online,
ins_109508,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,E1Da7bvWlkFJkxokPQApfqZra3y5bgF6QNlBD,1000,15/09/2025,FALSE,,CD DEPOSIT .INITIAL.,,special,other,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,mqnrJ7bw38fVEoxEzAa3cWaNGr6jqKirjaJmz,78.5,14/09/2025,FALSE,,Touchstone Climbing,,place,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,1GEPJ5mB79tl7eM7DmLnfr5xAbXgMpCD71okE,-500,14/09/2025,FALSE,United Airlines,United Airlines,,special,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,LWDgM6owxqtZbnNb14BvTdb1awkg4Nc385axz,12,13/09/2025,FALSE,McDonald's,McDonald's,,place,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,pznagZ9mkWhbEVMEx6ANu5b6yPxLAKsXgdnvy,4.33,13/09/2025,FALSE,Starbucks,Starbucks,,place,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,ornxbQ9odwhLGEPG3DmMTNL5jRbZoBfv9myZJ,89.4,12/09/2025,FALSE,FUN,SparkFun,,place,in store,
ins_109508,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,6zEoX5d4y9hXBb9B5n6vfeEKweo3Egc8BRVzx,-4.22,11/09/2025,FALSE,,INTRST PYMNT,,special,other,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,4K5M6DGdyJuG5p65PkZqszkXEzKokvuJQxj45,500,01/09/2025,FALSE,United Airlines,United Airlines,,special,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,kGWJwPkoz8tG6Ek6Kwx7s4d394rMdEcLlby83,6.33,30/08/2025,FALSE,Uber,Uber 072515 SF**POOL**,,special,online,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,NGDAq6gyartnwWLwpMxmt4oXk4nWopcy41Pkd,500,27/08/2025,FALSE,,Tectra Inc,,place,in store,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,7BD8PmlNy9S5vXPvqbgWTxzXax4EzBCdoG7rz,2078.5,26/08/2025,FALSE,,AUTOMATIC PAYMENT - THANK,,special,online,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,jAnwpNP6r8td9yx9qkeJSWnjGWN1nAC6V3rlj,500,26/08/2025,FALSE,KFC,KFC,,place,in store,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,PqDmr6oANBfebldbgZa8SPbXvPKMbpuoP4pVR,500,26/08/2025,FALSE,,Madison Bicycle Shop,,place,in store,
ins_109508,eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,XaWzo6BRKjIVbAJbBRZqcwr1vwV5rZfbmRwDy,25,17/08/2025,FALSE,,CREDIT CARD 3333 PAYMENT *//,,special,other,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,llnq7jdoByhxGEbGvQdNH1aN41k7aMHpVvDrz,5.4,17/08/2025,FALSE,Uber,Uber 063015 SF**POOL**,,special,online,
ins_109508,MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,wNmg3wJ1Q8sxGoMG7w14HnmZjp7lXvfPb6B4r,5850,16/08/2025,FALSE,,ACH Electronic CreditGUSTO PAY 123456,,special,online,
ins_109508,QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,E1Da7bvWlkFJkxokPQApfqZlaq46ZWH4qLpzz,1000,16/08/2025,FALSE,,CD DEPOSIT .INITIAL.,,special,other,
ins_109508,ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,eoWb631DemtnG5MGWQJKtXvlrXkev5ir4woey,78.5,15/08/2025,FALSE,,Touchstone Climbing,,place,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,qByNlM9o48SXWwPWd8JzfBX5EBlLX6Cgzq4V8,-500,15/08/2025,FALSE,United Airlines,United Airlines,,special,in store,
ins_109508,7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,KEDpR6ZW3lsvpjNpMezGFx4E6xrX4kCRxv4m6,12,14/08/2025,FALSE,McDonald's,McDonald's,,place,in store,
