id,accountId,date,description,amount,currency,status,type,providerTransactionId
6c314e887dbb4958af9471f06f76b4ba,00140a6c17ce4d3a9dd455073c5cac0a,2025-11-01,Intressitulu,3.72,EUR,BOOKED,DEFAULT,1002
a3c5e1d22a984133b9ec7dcaa17f7a33,00140a6c17ce4d3a9dd455073c5cac0a,2025-11-01,Dodo Pizza,-17.990000000000002,EUR,PENDING,DEFAULT,1001
18b7944f9ee3491895e7bc9929f165bf,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-30,Reval Cafe,-1.49,EUR,BOOKED,DEFAULT,1004
5411084ff1494dffa798c838be34b141,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-30,Põrgu Pub,-8.68,EUR,BOOKED,DEFAULT,1003
2f559f5dab6b4e75bc1db091cb37cb75,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-28,Mcdonald's,-5.69,EUR,BOOKED,DEFAULT,1006
f9d0c3eead994f30abcf5fbda0869bba,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-28,Telia,-23.990000000000002,EUR,BOOKED,DEFAULT,1005
2f12ad175ecb4404a31a3d14d46d2356,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-27,Bolt Food,-29.990000000000002,EUR,BOOKED,DEFAULT,1008
9662ced9ac6241daba2ba8845c6a543d,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-27,Alexela,-40.0,EUR,BOOKED,DEFAULT,1007
a7669f99af38481aa843f5df3863b8a8,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-27,Elron,-27.900000000000002,EUR,BOOKED,DEFAULT,1009
bf3f0d4b08c84c8e8f8be8a5b44d05a0,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-26,Eesti Gaas,-34.0,EUR,BOOKED,DEFAULT,1010
cad4cc4c316b42449bf0c0add8f4a23d,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-25,Bauhof,-9.790000000000001,EUR,BOOKED,DEFAULT,1011
b60cb5f85b024fc09ffd5421d936f017,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-24,Kohvik August,-4.97,EUR,BOOKED,DEFAULT,1012
7b62caec9ca440599203e59cb48f8f2b,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-23,Reval Cafe,-1.49,EUR,BOOKED,DEFAULT,1014
b8c85640dda8421f88f558b0ebd3feca,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-23,H&M,-23.990000000000002,EUR,BOOKED,DEFAULT,1013
14c90c5d286a4ce8897a9d32043dea6c,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-22,Selver,-53.660000000000004,EUR,BOOKED,DEFAULT,1015
34688db5a7b04a8e91a568c4373f8951,00140a6c17ce4d3a9dd455073c5cac0a,2025-10-20,Lidl,-19.67,EUR,BOOKED,DEFAULT,1018
