id,accountId,date,description,amount,currency,status,type,providerTransactionId
3526055fa5a8474eb1d7d34fabaaf714,fb9a593b6b0c448d968616bb8aae9a60,2025-11-01,Peppes Pizza,-179.9,NOK,PENDING,DEFAULT,1001
658f717e595d4e4b8905cb716fcadb5c,fb9a593b6b0c448d968616bb8aae9a60,2025-11-01,Opptjente Renter,37.2,NOK,BOOKED,DEFAULT,1002
009bf096cccb4a579b1ebeb4587d4da3,fb9a593b6b0c448d968616bb8aae9a60,2025-10-30,Egon,-86.80000000000001,NOK,BOOKED,DEFAULT,1003
518db9f1f67442af993f14f481648706,fb9a593b6b0c448d968616bb8aae9a60,2025-10-30,Kaffebrenneriet,-24.900000000000002,NOK,BOOKED,DEFAULT,1004
5c2ea6a86cb2412ba56ed131c58ea4f9,fb9a593b6b0c448d968616bb8aae9a60,2025-10-28,Bislett Kebab,-56.900000000000006,NOK,BOOKED,DEFAULT,1006
b7e2fc062f7b40b298d29c1edf1e2b59,fb9a593b6b0c448d968616bb8aae9a60,2025-10-28,Nextgentel,-239.9,NOK,BOOKED,DEFAULT,1005
5436f22bad004087aa72a8deedc0c411,fb9a593b6b0c448d968616bb8aae9a60,2025-10-27,Rema 1000,-299.90000000000003,NOK,BOOKED,DEFAULT,1008
6cd1b7671f594c8b9f86d0408f193e76,fb9a593b6b0c448d968616bb8aae9a60,2025-10-27,Shell,-400.0,NOK,BOOKED,DEFAULT,1007
b01419fd659a45f5bdff67e341b6ff0b,fb9a593b6b0c448d968616bb8aae9a60,2025-10-27,Skyss,-279.0,NOK,BOOKED,DEFAULT,1009
0f50ee11d65740e6842482794fbcba0d,fb9a593b6b0c448d968616bb8aae9a60,2025-10-26,Dustin.no,-977.1,NOK,BOOKED,DEFAULT,1010
d0bc71af53cc4c32a4d318138ceb6315,fb9a593b6b0c448d968616bb8aae9a60,2025-10-26,Tibber,-340.0,NOK,BOOKED,DEFAULT,1011
f9fa7099196949d0be324132f00df1f8,fb9a593b6b0c448d968616bb8aae9a60,2025-10-25,Volt,-97.9,NOK,BOOKED,DEFAULT,1012
9e3cc5c34ae44da2958f2ff4e2a45e08,fb9a593b6b0c448d968616bb8aae9a60,2025-10-24,Godt Brød,-37.9,NOK,BOOKED,DEFAULT,1013
bea9211294b74473af74b013701e80dd,fb9a593b6b0c448d968616bb8aae9a60,2025-10-23,Kaffebrenneriet,-24.900000000000002,NOK,BOOKED,DEFAULT,1015
f6aae9a70e1f46588002f46344e2027e,fb9a593b6b0c448d968616bb8aae9a60,2025-10-23,H&M,-239.9,NOK,BOOKED,DEFAULT,1014
9e5595bc3f794c15a694be83e52a9bab,fb9a593b6b0c448d968616bb8aae9a60,2025-10-22,Kiwi,-536.6,NOK,BOOKED,DEFAULT,1016
3790a1fe519f40f38fcc277e5a36ee6a,fb9a593b6b0c448d968616bb8aae9a60,2025-10-20,Joker,-196.70000000000002,NOK,BOOKED,DEFAULT,1019
3893fee0903640b0a4ab2d339dbaf099,fb9a593b6b0c448d968616bb8aae9a60,2025-10-20,Rema 1000,-299.90000000000003,NOK,BOOKED,DEFAULT,1017
5e7e3366bb5f463bba1c9d857f843857,fb9a593b6b0c448d968616bb8aae9a60,2025-10-20,Skyss,-279.0,NOK,BOOKED,DEFAULT,1018
90fd1c968733477fabbffabb9b298cc3,fb9a593b6b0c448d968616bb8aae9a60,2025-10-20,Ruter,-129.0,NOK,BOOKED,DEFAULT,1020
fd4fb3e98d224214b90ed8fed369a752,fb9a593b6b0c448d968616bb8aae9a60,2025-10-19,The Scotsman,-249.60000000000002,NOK,BOOKED,DEFAULT,1021
97703c97905b4b4cae9cb4eae13b8dfe,fb9a593b6b0c448d968616bb8aae9a60,2025-10-17,Apotek 1,-37.9,NOK,BOOKED,DEFAULT,1023
f1169510b12a4fcd92903cb1bb07b294,fb9a593b6b0c448d968616bb8aae9a60,2025-10-17,Tv2 Sumo,-139.9,NOK,BOOKED,DEFAULT,1022
44b9eff835b845aa9540eab48e0839c3,fb9a593b6b0c448d968616bb8aae9a60,2025-10-16,Egon,-86.80000000000001,NOK,BOOKED,DEFAULT,1025
